league,season,week,team_norm,team_raw,pr,rank,sos,sos_rank
CFB,2024,1,,Georgia,98.56,1,,
CFB,2024,1,,Texas,95.78,2,,
CFB,2024,1,,Alabama,93.17,3,,
CFB,2024,1,,Ohio State,92.39,4,,
CFB,2024,1,,Mississippi,90,5,,
CFB,2024,1,,Notre Dame,89.84,6,,
CFB,2024,1,,Oregon,89.31,7,,
CFB,2024,1,,Penn State,88.57,8,,
CFB,2024,1,,Utah,86.52,9,,
CFB,2024,1,,LSU,86.17,10,,
CFB,2024,1,,Oklahoma,86.13,11,,
CFB,2024,1,,Tennessee,85.74,12,,
CFB,2024,1,,Missouri,85.68,13,,
CFB,2024,1,,Michigan,85.66,14,,
CFB,2024,1,,Kansas State,84.74,15,,
CFB,2024,1,,Miami-Florida,84.68,16,,
CFB,2024,1,,Southern California,84.22,17,,
CFB,2024,1,,Oklahoma State,84.15,18,,
CFB,2024,1,,Texas A&M,82.97,19,,
CFB,2024,1,,Iowa,82.84,20,,
CFB,2024,1,,Auburn,81.93,21,,
CFB,2024,1,,Louisville,81.67,22,,
CFB,2024,1,,Clemson,80.71,23,,
CFB,2024,1,,Florida State,80.23,24,,
CFB,2024,1,,Central Florida(UCF),79.91,25,,
CFB,2024,1,,Iowa State,79.85,26,,
CFB,2024,1,,Kansas,79.72,27,,
CFB,2024,1,,TCU,79.09,28,,
CFB,2024,1,,Kentucky,78.85,29,,
CFB,2024,1,,Arizona,78.85,30,,
CFB,2024,1,,Nebraska,78.68,31,,
CFB,2024,1,,Boise State,78.01,32,,
CFB,2024,1,,Wisconsin,77.94,33,,
CFB,2024,1,,Washington,77.59,34,,
CFB,2024,1,,West Virginia,76.71,35,,
CFB,2024,1,,SMU,76.7,36,,
CFB,2024,1,,Maryland,76.65,37,,
CFB,2024,1,,Baylor,75.93,38,,
CFB,2024,1,,Florida,75.86,39,,
CFB,2024,1,,NC State,75.71,40,,
CFB,2024,1,,Memphis,75.21,41,,
CFB,2024,1,,Arkansas,75.17,42,,
CFB,2024,1,,South Carolina,75.03,43,,
CFB,2024,1,,North Carolina,74.75,44,,
CFB,2024,1,,Rutgers,74.69,45,,
CFB,2024,1,,Texas Tech,74.51,46,,
CFB,2024,1,,Washington State,74.46,47,,
CFB,2024,1,,Colorado,74.4,48,,
CFB,2024,1,,Oregon State,73.94,49,,
CFB,2024,1,,Illinois,73.85,50,,
CFB,2024,1,,Virginia Tech,73.81,51,,
