week,team,rating,rank,sos,sos_rank,predictor,golden_mean,recent,recent_strong
10,Ohio State,97.21,1,74.41,22,94.15,98.38,103.99,112.29
10,Indiana,94.31,2,69.99,50,92.30,94.04,100.30,110.73
10,Oregon,93.00,3,71.20,44,92.28,93.15,96.10,98.00
10,Texas A&M;,91.38,4,76.32,11,88.85,94.04,94.35,97.67
10,Alabama,91.37,5,79.45,4,90.14,91.99,94.38,97.32
10,Notre Dame,90.64,6,75.84,13,90.53,92.01,91.57,92.46
10,Georgia,89.55,7,77.44,8,88.28,91.99,90.68,91.86
10,Mississippi,87.70,8,74.37,23,85.90,88.91,90.26,92.34
10,Texas,87.64,9,75.46,15,87.12,89.43,88.15,87.14
10,Miami-Florida,87.35,10,75.64,14,87.03,88.26,88.35,89.13
10,Texas Tech,87.28,11,65.63,75,85.81,87.60,90.29,97.47
10,Utah,86.97,12,71.23,43,86.71,84.22,93.30,101.27
10,Oklahoma,84.75,13,74.70,18,84.31,85.16,85.98,88.03
10,Vanderbilt,84.57,14,73.91,26,83.34,84.08,87.89,91.29
10,LSU,84.34,15,78.58,6,84.62,84.94,84.55,82.25
10,Southern California,84.32,16,72.73,33,83.72,84.21,86.25,89.87
10,Iowa,83.89,17,70.48,48,83.43,82.66,87.08,90.82
10,Tennessee,83.65,18,74.14,25,84.11,83.74,84.09,83.57
10,Missouri,83.58,19,69.10,55,82.89,83.15,85.91,87.33
10,Penn State,83.46,20,70.89,46,85.18,81.74,84.79,79.56
10,Washington,82.58,21,72.02,40,82.37,82.74,83.47,84.43
10,Louisville,82.54,22,69.89,51,81.52,85.61,81.70,82.77
10,BYU,82.25,23,70.34,49,80.40,84.13,83.31,88.98
10,Michigan,81.72,24,72.61,35,82.06,83.54,80.39,79.65
10,Florida,81.62,25,81.74,1,82.75,80.68,82.24,79.10
10,Pittsburgh,81.37,26,68.08,64,81.48,80.06,83.53,88.16
10,SMU,80.74,27,69.59,53,80.31,80.61,81.92,82.57
10,Illinois,80.27,28,76.01,12,80.07,81.02,80.19,80.39
10,Florida State,79.80,29,71.00,45,81.56,77.73,80.98,82.28
10,Georgia Tech,79.69,30,68.40,61,79.20,81.25,79.04,80.12
10,Auburn,79.49,31,77.11,9,80.84,78.40,79.72,77.52
10,Clemson,79.20,32,72.58,36,81.00,76.59,81.00,78.06
10,South Carolina,78.39,33,79.66,3,79.42,76.42,79.94,76.34
