season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,7,2025-10-17T00:15:00+00:00,20251017_0015_cin_pit,2025_07_PIT_CIN,CIN,PIT,cin,pit,-5.5,45.5,,,schedule,False,,19.1,22,20.78,15,22.57,18.32,2,26,3.17,1.49,-4.01,HOME,-5.5,1.49,-4.01,103.0,183.0,56.7,194.2,250.8,56.7,194.2,250.8,-0.3,2-4,2-4-0,30,30,32,1,3,1,119.0,107.0,84.0,206.6,290.6,84.0,206.6,290.6,0.8,4-1,3-2-0,27,25,30,4,8,3,"{'schedule_row': {'game_id': '2025_07_PIT_CIN', 'gsis': 59936.0, 'gameday': '2025-10-16', 'season': 2025, 'week': 7, 'home_team': 'CIN', 'away_team': 'PIT'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Cincinnati Bengals', 'pr': 19.1, 'pr_rank': 22, 'sos': 22.57, 'sos_rank': 2, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Pittsburgh Steelers', 'pr': 20.78, 'pr_rank': 15, 'sos': 18.32, 'sos_rank': 26, 'hfa': 3.17}}"
2025,7,2025-10-19T13:30:00+00:00,20251019_1330_jaguars_la,2025_07_LA_JAX,JAX,LA,jaguars,la,-3.0,44.5,,,schedule,False,,19.54,21,22.14,9,19.82,20.61,18,15,3.17,0.57,-2.43,HOME,-3.0,0.57,-2.43,139.0,120.0,124.0,220.7,344.7,124.0,220.7,344.7,1.3,4-2,4-2-0,9,17,16,22,16,17,140.0,110.0,105.8,280.7,386.5,105.8,280.7,386.5,0.5,4-2,4-2-0,20,2,5,11,31,28,"{'schedule_row': {'game_id': '2025_07_LA_JAX', 'gsis': 59937.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'JAX', 'away_team': 'LA'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Jacksonville Jaguars', 'pr': 19.54, 'pr_rank': 21, 'sos': 19.82, 'sos_rank': 18, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Los Angeles Rams', 'pr': 22.14, 'pr_rank': 9, 'sos': 20.61, 'sos_rank': 15, 'hfa': 3.17}}"
2025,7,2025-10-19T17:00:00+00:00,20251019_1700_chi_no,2025_07_NO_CHI,CHI,NO,chi,no,4.5,46.5,,,schedule,False,,20.12,18,12.36,32,21.75,18.86,4,25,3.17,10.93,15.43,AWAY,-4.5,-10.93,-15.43,126.0,141.0,110.8,241.2,352.0,110.8,241.2,352.0,1.6,3-2,3-2-0,16,11,14,15,22,19,111.0,160.0,109.5,206.0,315.5,109.5,206.0,315.5,0.7,1-5,2-4-0,17,27,25,14,6,8,"{'schedule_row': {'game_id': '2025_07_NO_CHI', 'gsis': 59938.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'CHI', 'away_team': 'NO'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Chicago Bears', 'pr': 20.12, 'pr_rank': 18, 'sos': 21.75, 'sos_rank': 4, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'New Orleans Saints', 'pr': 12.36, 'pr_rank': 32, 'sos': 18.86, 'sos_rank': 25, 'hfa': 3.17}}"
2025,7,2025-10-19T17:00:00+00:00,20251019_1700_cle_mia,2025_07_MIA_CLE,CLE,MIA,cle,mia,2.5,37.5,,,schedule,False,,14.7,28,14.62,29,22.77,19.35,1,23,3.17,3.25,5.75,AWAY,-2.5,-3.25,-5.75,82.0,146.0,90.7,207.5,298.2,90.7,207.5,298.2,-0.7,1-5,2-4-0,26,23,28,5,10,5,134.0,174.0,91.3,208.8,300.2,91.3,208.8,300.2,-0.3,1-5,3-3-0,25,22,27,6,11,6,"{'schedule_row': {'game_id': '2025_07_MIA_CLE', 'gsis': 59939.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'CLE', 'away_team': 'MIA'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Cleveland Browns', 'pr': 14.7, 'pr_rank': 28, 'sos': 22.77, 'sos_rank': 1, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Miami Dolphins', 'pr': 14.62, 'pr_rank': 29, 'sos': 19.35, 'sos_rank': 23, 'hfa': 3.17}}"
2025,7,2025-10-19T17:00:00+00:00,20251019_1700_kc_lv,2025_07_LV_KC,KC,LV,kc,lv,11.5,45.5,,,schedule,False,,25.31,3,17.25,24,21.16,19.99,7,17,3.17,11.23,22.73,AWAY,-11.5,-11.23,-22.73,155.0,124.0,118.7,252.3,371.0,118.7,252.3,371.0,0.7,3-3,3-3-0,12,8,9,19,25,24,103.0,149.0,105.2,225.0,330.2,105.2,225.0,330.2,-0.7,2-4,2-4-0,21,15,23,10,18,10,"{'schedule_row': {'game_id': '2025_07_LV_KC', 'gsis': 59940.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'KC', 'away_team': 'LV'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Kansas City Chiefs', 'pr': 25.31, 'pr_rank': 3, 'sos': 21.16, 'sos_rank': 7, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Las Vegas Raiders', 'pr': 17.25, 'pr_rank': 24, 'sos': 19.99, 'sos_rank': 17, 'hfa': 3.17}}"
2025,7,2025-10-19T17:00:00+00:00,20251019_1700_min_phi,2025_07_PHI_MIN,MIN,PHI,min,phi,-1.5,43.5,,,schedule,False,,21.52,12,25.59,1,18.16,21.03,28,9,3.17,-0.9,-2.4,HOME,-1.5,-0.9,-2.4,123.0,97.0,106.8,224.2,331.0,106.8,224.2,331.0,-0.4,3-2,3-2-0,19,16,22,12,17,11,142.0,143.0,95.3,195.3,290.7,95.3,195.3,290.7,0.3,4-2,3-3-0,23,29,29,8,4,4,"{'schedule_row': {'game_id': '2025_07_PHI_MIN', 'gsis': 59941.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'MIN', 'away_team': 'PHI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Minnesota Vikings', 'pr': 21.52, 'pr_rank': 12, 'sos': 18.16, 'sos_rank': 28, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Philadelphia Eagles', 'pr': 25.59, 'pr_rank': 1, 'sos': 21.03, 'sos_rank': 9, 'hfa': 3.17}}"
2025,7,2025-10-19T17:00:00+00:00,20251019_1700_nyj_car,2025_07_CAR_NYJ,NYJ,CAR,nyj,car,-1.5,41.5,,,schedule,False,,14.18,30,16.8,26,19.75,18.24,20,27,3.17,0.55,-0.95,HOME,-1.5,0.55,-0.95,123.0,170.0,135.7,175.3,311.0,135.7,175.3,311.0,-1.2,0-6,3-3-0,4,32,26,27,1,7,132.0,146.0,142.7,201.3,344.0,142.7,201.3,344.0,-0.7,3-3,4-2-0,3,28,17,28,5,16,"{'schedule_row': {'game_id': '2025_07_CAR_NYJ', 'gsis': 59942.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'NYJ', 'away_team': 'CAR'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New York Jets', 'pr': 14.18, 'pr_rank': 30, 'sos': 19.75, 'sos_rank': 20, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Carolina Panthers', 'pr': 16.8, 'pr_rank': 26, 'sos': 18.24, 'sos_rank': 27, 'hfa': 3.17}}"
2025,7,2025-10-19T17:00:00+00:00,20251019_1700_ten_ne,2025_07_NE_TEN,TEN,NE,ten,ne,-7.0,42.5,,,schedule,False,,13.93,31,19.64,19,21.65,17.37,5,30,3.17,-2.54,-9.54,HOME,-7.0,-2.54,-9.54,83.0,161.0,81.8,183.5,265.3,81.8,183.5,265.3,-0.2,1-5,2-4-0,29,31,31,2,2,2,150.0,120.0,91.5,253.7,345.2,91.5,253.7,345.2,0.0,4-2,4-2-0,24,7,15,7,26,18,"{'schedule_row': {'game_id': '2025_07_NE_TEN', 'gsis': 59943.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'TEN', 'away_team': 'NE'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Tennessee Titans', 'pr': 13.93, 'pr_rank': 31, 'sos': 21.65, 'sos_rank': 5, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'New England Patriots', 'pr': 19.64, 'pr_rank': 19, 'sos': 17.37, 'sos_rank': 30, 'hfa': 3.17}}"
2025,7,2025-10-19T20:05:00+00:00,20251019_2005_den_nyg,2025_07_NYG_DEN,DEN,NYG,den,nyg,7.0,39.5,,,schedule,False,,23.08,7,16.55,27,19.58,20.89,21,11,3.17,9.7,16.7,AWAY,-7.0,-9.7,-16.7,130.0,95.0,130.2,212.8,343.0,130.2,212.8,343.0,-0.5,4-2,2-4-0,6,21,18,25,12,15,121.0,144.0,126.2,215.7,341.8,126.2,215.7,341.8,-0.5,2-4,3-3-0,8,19,19,23,14,14,"{'schedule_row': {'game_id': '2025_07_NYG_DEN', 'gsis': 59944.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'DEN', 'away_team': 'NYG'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Denver Broncos', 'pr': 23.08, 'pr_rank': 7, 'sos': 19.58, 'sos_rank': 21, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'New York Giants', 'pr': 16.55, 'pr_rank': 27, 'sos': 20.89, 'sos_rank': 11, 'hfa': 3.17}}"
2025,7,2025-10-19T20:05:00+00:00,20251019_2005_lac_ind,2025_07_IND_LAC,LAC,IND,lac,ind,1.5,48.5,,,schedule,False,,20.95,14,20.57,17,20.67,17.09,13,31,3.17,3.55,5.05,AWAY,-1.5,-3.55,-5.05,127.0,125.0,120.7,256.2,376.8,120.7,256.2,376.8,-0.2,4-2,3-3-0,11,6,7,20,27,26,194.0,116.0,131.8,251.8,383.7,131.8,251.8,383.7,0.8,5-1,4-2-0,5,9,6,26,24,27,"{'schedule_row': {'game_id': '2025_07_IND_LAC', 'gsis': 59945.0, 'gameday': '2025-10-19', 'season': 2025, 'week': 7, 'home_team': 'LAC', 'away_team': 'IND'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Los Angeles Chargers', 'pr': 20.95, 'pr_rank': 14, 'sos': 20.67, 'sos_rank': 13, 'hfa': 3.17}, 'sagarin_row_away': {'team': 'Indianapolis Colts', 'pr': 20.57, 'pr_rank': 17, 'sos': 17.09, 'sos_rank': 31, 'hfa': 3.17}}"
