season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,13,2025-11-27T18:00:00+00:00,20251127_1800_det_gb,2025_13_GB_DET,DET,GB,det,gb,2.5,48.5,,,schedule,False,,26.08,3,24.35,5,20.77,18.81,7,27,2.6,4.33,6.83,AWAY,-2.5,-4.33,-6.83,326.0,243.0,139.8,252.0,391.8,139.8,252.0,391.8,0.4,7-4,6-5-0,3,9,4,30,23,29,263.0,202.0,116.5,233.9,350.4,116.5,233.9,350.4,0.3,7-3-1,4-7-0,15,15,14,18,17,19,"{'schedule_row': {'game_id': '2025_13_GB_DET', 'gsis': 60021.0, 'gameday': '2025-11-27', 'season': 2025, 'week': 13, 'home_team': 'DET', 'away_team': 'GB'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Detroit Lions', 'pr': 26.08, 'pr_rank': 3, 'sos': 20.77, 'sos_rank': 7, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Green Bay Packers', 'pr': 24.35, 'pr_rank': 5, 'sos': 18.81, 'sos_rank': 27, 'hfa': 2.6}}"
2025,13,2025-11-27T21:30:00+00:00,20251127_2130_dal_kc,2025_13_KC_DAL,DAL,KC,dal,kc,-3.5,53.5,,,schedule,False,,18.5,21,26.29,2,19.83,21.24,19,5,2.6,-5.19,-8.69,HOME,-3.5,-5.19,-8.69,320.0,314.0,120.5,276.4,396.8,120.5,276.4,396.8,-0.4,5-5-1,6-5-0,12,1,3,21,31,30,277.0,201.0,118.3,270.6,388.9,118.3,270.6,388.9,0.2,6-5,5-6-0,14,2,5,19,30,28,"{'schedule_row': {'game_id': '2025_13_KC_DAL', 'gsis': 60022.0, 'gameday': '2025-11-27', 'season': 2025, 'week': 13, 'home_team': 'DAL', 'away_team': 'KC'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Dallas Cowboys', 'pr': 18.5, 'pr_rank': 21, 'sos': 19.83, 'sos_rank': 19, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Kansas City Chiefs', 'pr': 26.29, 'pr_rank': 2, 'sos': 21.24, 'sos_rank': 5, 'hfa': 2.6}}"
2025,13,2025-11-28T01:20:00+00:00,20251128_0120_bal_cin,2025_13_CIN_BAL,BAL,CIN,bal,cin,7.0,52.5,,,schedule,False,,24.22,7,15.95,26,20.36,20.4,13,12,2.6,10.87,17.87,AWAY,-7.0,-10.87,-17.87,275.0,261.0,138.0,195.6,333.6,138.0,195.6,333.6,-0.3,6-5,4-7-0,6,29,21,27,3,12,248.0,360.0,84.9,236.0,320.9,84.9,236.0,320.9,-0.3,3-8,4-7-0,30,13,23,3,19,10,"{'schedule_row': {'game_id': '2025_13_CIN_BAL', 'gsis': 60023.0, 'gameday': '2025-11-27', 'season': 2025, 'week': 13, 'home_team': 'BAL', 'away_team': 'CIN'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Baltimore Ravens', 'pr': 24.22, 'pr_rank': 7, 'sos': 20.36, 'sos_rank': 13, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Cincinnati Bengals', 'pr': 15.95, 'pr_rank': 26, 'sos': 20.4, 'sos_rank': 12, 'hfa': 2.6}}"
2025,13,2025-11-28T20:00:00+00:00,20251128_2000_phi_chi,2025_13_CHI_PHI,PHI,CHI,phi,chi,7.0,43.5,,,schedule,False,,26.07,4,20.13,18,21.73,18.63,3,30,2.6,8.54,15.54,AWAY,-7.0,-8.54,-15.54,255.0,225.0,110.5,207.6,318.1,110.5,207.6,318.1,0.4,8-3,7-4-0,21,22,24,12,10,9,289.0,292.0,142.3,237.9,380.2,142.3,237.9,380.2,1.4,8-3,6-4-1,2,11,6,31,21,27,"{'schedule_row': {'game_id': '2025_13_CHI_PHI', 'gsis': 60024.0, 'gameday': '2025-11-28', 'season': 2025, 'week': 13, 'home_team': 'PHI', 'away_team': 'CHI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Philadelphia Eagles', 'pr': 26.07, 'pr_rank': 4, 'sos': 21.73, 'sos_rank': 3, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Chicago Bears', 'pr': 20.13, 'pr_rank': 18, 'sos': 18.63, 'sos_rank': 30, 'hfa': 2.6}}"
2025,13,2025-11-30T18:00:00+00:00,20251130_1800_car_la,2025_13_LA_CAR,CAR,LA,car,la,-10.0,44.5,,,schedule,False,,15.84,27,26.63,1,19.29,20.41,24,11,2.6,-8.19,-18.19,HOME,-10.0,-8.19,-18.19,216.0,269.0,122.2,202.0,324.2,122.2,202.0,324.2,0.0,6-6,7-5-0,11,25,22,22,7,11,306.0,179.0,110.0,257.3,367.3,110.0,257.3,367.3,0.8,9-2,8-3-0,22,7,10,11,25,23,"{'schedule_row': {'game_id': '2025_13_LA_CAR', 'gsis': 60025.0, 'gameday': '2025-11-30', 'season': 2025, 'week': 13, 'home_team': 'CAR', 'away_team': 'LA'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Carolina Panthers', 'pr': 15.84, 'pr_rank': 27, 'sos': 19.29, 'sos_rank': 24, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Los Angeles Rams', 'pr': 26.63, 'pr_rank': 1, 'sos': 20.41, 'sos_rank': 11, 'hfa': 2.6}}"
2025,13,2025-11-30T18:00:00+00:00,20251130_1800_cle_49ers,2025_13_SF_CLE,CLE,SF,cle,49ers,-5.5,35.5,,,schedule,False,,15.49,28,21.59,13,20.48,20.11,10,16,2.6,-3.5,-9.0,HOME,-5.5,-3.5,-9.0,186.0,244.0,94.9,182.5,277.5,94.9,182.5,277.5,0.0,3-8,5-6-0,28,30,32,5,2,1,281.0,261.0,99.2,260.8,360.0,99.2,260.8,360.0,-0.3,8-4,7-5-0,26,4,12,7,28,21,"{'schedule_row': {'game_id': '2025_13_SF_CLE', 'gsis': 60026.0, 'gameday': '2025-11-30', 'season': 2025, 'week': 13, 'home_team': 'CLE', 'away_team': 'SF'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Cleveland Browns', 'pr': 15.49, 'pr_rank': 28, 'sos': 20.48, 'sos_rank': 10, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'San Francisco 49ers', 'pr': 21.59, 'pr_rank': 13, 'sos': 20.11, 'sos_rank': 16, 'hfa': 2.6}}"
2025,13,2025-11-30T18:00:00+00:00,20251130_1800_ind_hou,2025_13_HOU_IND,IND,HOU,ind,hou,3.0,44.5,,,schedule,False,,23.02,10,23.01,11,18.68,20.85,29,6,2.6,2.61,5.61,AWAY,-3.0,-2.61,-5.61,341.0,229.0,138.8,259.0,397.8,138.8,259.0,397.8,0.4,8-3,7-4-0,4,5,2,29,27,31,243.0,182.0,107.6,234.6,342.3,107.6,234.6,342.3,0.8,6-5,5-6-0,23,14,18,10,18,15,"{'schedule_row': {'game_id': '2025_13_HOU_IND', 'gsis': 60027.0, 'gameday': '2025-11-30', 'season': 2025, 'week': 13, 'home_team': 'IND', 'away_team': 'HOU'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Indianapolis Colts', 'pr': 23.02, 'pr_rank': 10, 'sos': 18.68, 'sos_rank': 29, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Houston Texans', 'pr': 23.01, 'pr_rank': 11, 'sos': 20.85, 'sos_rank': 6, 'hfa': 2.6}}"
2025,13,2025-11-30T18:00:00+00:00,20251130_1800_mia_no,2025_13_NO_MIA,MIA,NO,mia,no,5.5,41.5,,,schedule,False,,16.03,25,11.57,32,20.02,20.23,17,15,2.6,7.06,12.56,AWAY,-5.5,-7.06,-12.56,226.0,269.0,112.8,201.5,314.3,112.8,201.5,314.3,-0.3,4-7,6-5-0,18,27,25,15,5,8,165.0,274.0,91.5,221.3,312.8,91.5,221.3,312.8,-0.4,2-9,3-8-0,29,17,26,4,15,7,"{'schedule_row': {'game_id': '2025_13_NO_MIA', 'gsis': 60028.0, 'gameday': '2025-11-30', 'season': 2025, 'week': 13, 'home_team': 'MIA', 'away_team': 'NO'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Miami Dolphins', 'pr': 16.03, 'pr_rank': 25, 'sos': 20.02, 'sos_rank': 17, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'New Orleans Saints', 'pr': 11.57, 'pr_rank': 32, 'sos': 20.23, 'sos_rank': 15, 'hfa': 2.6}}"
2025,13,2025-11-30T18:00:00+00:00,20251130_1800_nyj_atl,2025_13_ATL_NYJ,NYJ,ATL,nyj,atl,-3.0,38.5,,,schedule,False,,14.01,29,17.64,22,19.79,18.97,20,26,2.6,-1.03,-4.03,HOME,-3.0,-1.03,-4.03,219.0,291.0,135.8,169.5,305.3,135.8,169.5,305.3,-1.0,2-9,6-5-0,7,31,27,26,1,6,219.0,249.0,120.0,221.0,341.0,120.0,221.0,341.0,0.3,4-7,6-5-0,13,18,19,20,14,14,"{'schedule_row': {'game_id': '2025_13_ATL_NYJ', 'gsis': 60029.0, 'gameday': '2025-11-30', 'season': 2025, 'week': 13, 'home_team': 'NYJ', 'away_team': 'ATL'}, 'odds_row': None, 'sagarin_row_home': {'team': 'New York Jets', 'pr': 14.01, 'pr_rank': 29, 'sos': 19.79, 'sos_rank': 20, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Atlanta Falcons', 'pr': 17.64, 'pr_rank': 22, 'sos': 18.97, 'sos_rank': 26, 'hfa': 2.6}}"
2025,13,2025-11-30T18:00:00+00:00,20251130_1800_tb_ari,2025_13_ARI_TB,TB,ARI,tb,ari,4.5,44.5,,,schedule,False,,20.54,15,17.14,23,22.43,19.66,2,21,2.6,6.0,10.5,AWAY,-4.5,-6.0,-10.5,259.0,284.0,111.2,224.4,335.5,111.2,224.4,335.5,0.8,6-5,5-6-0,20,16,20,13,16,13,248.0,283.0,101.1,258.8,359.9,101.1,258.8,359.9,0.2,3-8,5-6-0,25,6,13,8,26,20,"{'schedule_row': {'game_id': '2025_13_ARI_TB', 'gsis': 60030.0, 'gameday': '2025-11-30', 'season': 2025, 'week': 13, 'home_team': 'TB', 'away_team': 'ARI'}, 'odds_row': None, 'sagarin_row_home': {'team': 'Tampa Bay Buccaneers', 'pr': 20.54, 'pr_rank': 15, 'sos': 22.43, 'sos_rank': 2, 'hfa': 2.6}, 'sagarin_row_away': {'team': 'Arizona Cardinals', 'pr': 17.14, 'pr_rank': 23, 'sos': 19.66, 'sos_rank': 21, 'hfa': 2.6}}"
