Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,95.0,26,262.0,4,357.0,12,95.0,7,262.0,29,357.0,21,0.0,302,388,3-11,6-8-0
Atlanta Falcons,122.7,12,228.6,18,351.3,16,122.7,21,228.6,15,351.3,17,0.1,281,341,5-9,7-7-0
Baltimore Ravens,146.2,3,197.6,27,343.9,19,146.2,30,197.6,6,343.9,14,-0.3,335,320,7-7,5-9-0
Buffalo Bills,158.5,1,237.9,11,396.4,2,158.5,32,237.9,22,396.4,31,0.1,411,324,10-4,7-7-0
Carolina Panthers,125.6,9,199.5,26,325.1,24,125.6,24,199.5,7,325.1,9,0.0,264,317,7-7,8-6-0
Chicago Bears,151.9,2,228.5,19,380.4,5,151.9,31,228.5,14,380.4,28,1.4,365,338,10-4,8-5-1
Cincinnati Bengals,87.4,31,240.4,10,327.9,22,87.4,2,240.4,23,327.9,11,-0.1,314,437,4-10,6-8-0
Cleveland Browns,92.4,29,192.7,30,285.1,30,92.4,4,192.7,3,285.1,3,-0.4,226,332,3-11,5-9-0
Dallas Cowboys,120.8,15,287.9,1,408.6,1,120.8,18,287.9,32,408.6,32,-0.5,407,420,6-7-1,7-7-0
Denver Broncos,119.5,17,232.6,15,352.1,15,119.5,16,232.6,18,352.1,18,-0.3,342,261,12-2,6-8-0
Detroit Lions,131.1,5,262.5,3,393.6,3,131.1,28,262.5,30,393.6,30,0.7,428,345,8-6,7-7-0
Green Bay Packers,117.0,18,236.9,13,353.9,14,117.0,15,236.9,20,353.9,19,0.1,348,281,9-4-1,6-8-0
Houston Texans,108.4,23,237.1,12,345.5,18,108.4,10,237.1,21,345.5,15,1.0,323,228,9-5,8-6-0
Indianapolis Colts,128.9,6,241.1,9,369.9,8,128.9,27,241.1,24,369.9,25,0.1,392,303,8-6,8-6-0
Jacksonville Jaguars,120.7,16,229.5,17,350.2,17,120.7,17,229.5,16,350.2,16,0.8,376,292,10-4,9-5-0
Kansas City Chiefs,113.9,20,257.8,5,371.7,7,113.9,13,257.8,28,371.7,26,-0.1,328,268,6-8,5-9-0
Los Angeles Rams,126.4,8,265.9,2,392.3,4,126.4,25,265.9,31,392.3,29,0.8,420,261,11-3,10-4-0
Los Angeles Chargers,123.4,11,234.4,14,357.8,11,123.4,22,234.4,19,357.8,22,0.2,315,284,10-4,8-6-0
Las Vegas Raiders,70.8,32,201.2,25,272.0,32,70.8,1,201.2,8,272.0,1,-0.3,196,363,2-12,5-9-0
Miami Dolphins,121.9,14,196.6,29,318.6,25,121.9,19,196.6,4,318.6,8,-0.3,296,324,6-8,7-7-0
Minnesota Vikings,102.3,24,197.0,28,299.3,28,102.3,9,197.0,5,299.3,5,-0.9,289,307,6-8,6-8-0
New England Patriots,122.4,13,255.6,7,378.1,6,122.4,20,255.6,26,378.1,27,0.0,382,276,11-3,9-5-0
New Orleans Saints,93.4,27,220.6,20,314.1,26,93.4,6,220.6,13,314.1,7,-0.2,226,332,4-10,6-8-0
New York Giants,125.1,10,230.9,16,356.0,13,125.1,23,230.9,17,356.0,20,-0.3,300,396,2-12,7-7-0
New York Jets,128.5,7,170.1,32,298.6,29,128.5,26,170.1,1,298.6,4,-1.2,276,397,3-11,7-7-0
Philadelphia Eagles,115.6,19,211.6,22,327.2,23,115.6,14,211.6,11,327.2,10,0.3,320,271,9-5,8-6-0
Pittsburgh Steelers,92.5,28,207.4,23,299.9,27,92.5,5,207.4,10,299.9,6,0.6,336,326,8-6,7-6-1
Seattle Seahawks,113.0,22,246.3,8,359.3,9,113.0,11,246.3,25,359.3,24,-0.3,405,242,11-3,10-4-0
San Francisco 49ers,101.4,25,256.6,6,358.0,10,101.4,8,256.6,27,358.0,23,-0.4,344,293,10-4,9-5-0
Tampa Bay Buccaneers,113.2,21,218.6,21,331.9,21,113.2,12,218.6,12,331.9,12,0.5,327,354,7-7,5-9-0
Tennessee Titans,88.6,30,188.4,31,277.0,31,88.6,3,188.4,2,277.0,2,-0.3,225,394,2-12,6-8-0
Washington Commanders,137.1,4,204.4,24,341.5,20,137.1,29,204.4,9,341.5,13,-0.8,291,375,4-10,5-9-0
