season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,16,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,27.5,1,20.79,9,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,26.2,2,19.36,22,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Detroit Lions,Detroit Lions,Detroit Lions,25.36,3,20.78,10,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,25.29,4,20.61,11,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Buffalo Bills,Buffalo Bills,Buffalo Bills,25.28,5,18.92,29,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Houston Texans,Houston Texans,Houston Texans,25.18,6,21.67,3,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Green Bay Packers,Green Bay Packers,Green Bay Packers,24.62,7,19.62,21,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,24.33,8,21.17,6,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Denver Broncos,Denver Broncos,Denver Broncos,24.24,9,18.37,31,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,23.44,10,19.9,18,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,23.04,11,19.68,20,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,22.49,12,19.12,28,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,New England Patriots,New England Patriots,New England Patriots,22.46,13,16.29,32,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,22.04,14,20.14,14,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Chicago Bears,Chicago Bears,Chicago Bears,21.96,15,19.14,27,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,21.76,16,19.19,26,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,20.91,17,20.13,15,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,19.9,18,20.99,8,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,19.12,19,20.55,12,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Washington Redskins,Washington Commanders,Washington Commanders,17.96,20,20.34,13,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,17.93,21,20.03,16,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,16.65,22,19.32,24,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,16.55,23,21.6,4,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Miami Dolphins,Miami Dolphins,Miami Dolphins,16.42,24,18.91,30,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Carolina Panthers,Carolina Panthers,Carolina Panthers,16.23,25,19.35,23,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals,15.84,26,21.48,5,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,New York Giants,New York Giants,New York Giants,14.82,27,22.06,1,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Cleveland Browns,Cleveland Browns,Cleveland Browns,13.1,28,19.75,19,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,New Orleans Saints,New Orleans Saints,New Orleans Saints,12.9,29,19.91,17,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
2025,16,Las Vegas Raiders,Las Vegas Raiders,Las Vegas Raiders,12.41,30,21.09,7,2.07,http://sagarin.com/sports/nflsend.htm,2025-12-17T10:36:02.459842Z,NFL 2025 through games of 2025 December 15 Monday - Week 15
