season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,home_team_norm,away_team_raw,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources,home_score,away_score
2025,10,2025-10-29T00:00:00Z,20251029_0000_james_madison_texas_state,401761639,Texas State,Texas State,James Madison,James Madison,,,,,,,,66.82,78.0,74.42,47.0,63.36,59.5,93.0,125.0,4.37,-7.6,,,,,,36.1,31.3,231.7,257.4,489.1,167.4,242.1,409.6,-0.9,3-4,,12,45,9,94,90,99,32.3,15.6,248.1,188.6,436.7,75.0,162.7,237.7,-0.1,6-1,,6,102,35,2,16,6,"{'schedule_row': {'id': 401761639, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-29T00:00:00Z', 'home_team': 'Texas State', 'away_team': 'James Madison', 'venue': 'Bobcat Stadium (TX)', 'conference_game': True}, 'league_metrics_home': {'Team': 'Texas State', 'RY(O)': 231.7, 'R(O)_RY': 12, 'PY(O)': 257.4, 'R(O)_PY': 45, 'TY(O)': 489.1, 'R(O)_TY': 9, 'RY(D)': 167.4, 'R(D)_RY': 94, 'PY(D)': 242.1, 'R(D)_PY': 90, 'TY(D)': 409.6, 'R(D)_TY': 99, 'TO': -0.9, 'PF': 36.1, 'PA': 31.3, 'SU': '3-4', 'ATS': None}, 'league_metrics_away': {'Team': 'James Madison', 'RY(O)': 248.1, 'R(O)_RY': 6, 'PY(O)': 188.6, 'R(O)_PY': 102, 'TY(O)': 436.7, 'R(O)_TY': 35, 'RY(D)': 75.0, 'R(D)_RY': 2, 'PY(D)': 162.7, 'R(D)_PY': 16, 'TY(D)': 237.7, 'R(D)_TY': 6, 'TO': -0.1, 'PF': 32.3, 'PA': 15.6, 'SU': '6-1', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Texas State', 'team_norm': 'Texas State', 'team': 'Texas State', 'pr': 66.82, 'pr_rank': 78, 'sos': 63.36, 'sos_rank': 93, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'James Madison', 'team_norm': 'James Madison', 'team': 'James Madison', 'pr': 74.42, 'pr_rank': 47, 'sos': 59.5, 'sos_rank': 125, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",20.0,52.0
2025,10,2025-10-29T00:00:00Z,20251029_0000_utep_kennesaw_state,401757289,Kennesaw State,Kennesaw State,UTEP,Utep,,,,,,,,58.59,112.0,54.7,118.0,58.92,57.37,128.0,137.0,4.37,3.89,,,,,,22.0,20.5,147.7,217.0,364.7,151.3,232.2,383.5,-0.2,4-2,,96,104,113,52,41,38,21.0,24.1,105.3,224.4,329.7,157.6,201.4,359.0,-1.1,2-5,,115,70,102,84,45,62,"{'schedule_row': {'id': 401757289, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-29T00:00:00Z', 'home_team': 'Kennesaw State', 'away_team': 'UTEP', 'venue': 'Fifth Third Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Kennesaw State', 'RY(O)': 147.7, 'R(O)_RY': 96, 'PY(O)': 217.0, 'R(O)_PY': 104, 'TY(O)': 364.7, 'R(O)_TY': 113, 'RY(D)': 151.3, 'R(D)_RY': 52, 'PY(D)': 232.2, 'R(D)_PY': 41, 'TY(D)': 383.5, 'R(D)_TY': 38, 'TO': -0.2, 'PF': 22.0, 'PA': 20.5, 'SU': '4-2', 'ATS': None}, 'league_metrics_away': {'Team': 'Utep', 'RY(O)': 105.3, 'R(O)_RY': 115, 'PY(O)': 224.4, 'R(O)_PY': 70, 'TY(O)': 329.7, 'R(O)_TY': 102, 'RY(D)': 157.6, 'R(D)_RY': 84, 'PY(D)': 201.4, 'R(D)_PY': 45, 'TY(D)': 359.0, 'R(D)_TY': 62, 'TO': -1.1, 'PF': 21.0, 'PA': 24.1, 'SU': '2-5', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Kennesaw State', 'team_norm': 'Kennesaw State', 'team': 'Kennesaw State', 'pr': 58.59, 'pr_rank': 112, 'sos': 58.92, 'sos_rank': 128, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'UTEP', 'team_norm': 'Utep', 'team': 'Utep', 'pr': 54.7, 'pr_rank': 118, 'sos': 57.37, 'sos_rank': 137, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",33.0,20.0
2025,10,2025-10-29T23:30:00Z,20251029_2330_jacksonville_state_middle_tennessee,401757292,Middle Tennessee,Middle Tennessee,Jacksonville State,Jacksonville State,,,,,,,,48.8,130.0,59.88,106.0,59.34,58.06,127.0,134.0,4.37,-11.08,,,,,,17.0,29.5,85.0,235.8,320.8,159.5,226.3,385.8,0.0,1-5,,127,95,123,61,37,39,30.7,26.6,277.6,140.1,417.7,147.6,241.6,389.1,0.4,4-3,,2,126,47,72,89,87,"{'schedule_row': {'id': 401757292, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-29T23:30:00Z', 'home_team': 'Middle Tennessee', 'away_team': 'Jacksonville State', 'venue': 'Johnny ""Red"" Floyd Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Middle Tennessee', 'RY(O)': 85.0, 'R(O)_RY': 127, 'PY(O)': 235.8, 'R(O)_PY': 95, 'TY(O)': 320.8, 'R(O)_TY': 123, 'RY(D)': 159.5, 'R(D)_RY': 61, 'PY(D)': 226.3, 'R(D)_PY': 37, 'TY(D)': 385.8, 'R(D)_TY': 39, 'TO': 0.0, 'PF': 17.0, 'PA': 29.5, 'SU': '1-5', 'ATS': None}, 'league_metrics_away': {'Team': 'Jacksonville State', 'RY(O)': 277.6, 'R(O)_RY': 2, 'PY(O)': 140.1, 'R(O)_PY': 126, 'TY(O)': 417.7, 'R(O)_TY': 47, 'RY(D)': 147.6, 'R(D)_RY': 72, 'PY(D)': 241.6, 'R(D)_PY': 89, 'TY(D)': 389.1, 'R(D)_TY': 87, 'TO': 0.4, 'PF': 30.7, 'PA': 26.6, 'SU': '4-3', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Middle Tennessee', 'team_norm': 'Middle Tennessee', 'team': 'Middle Tennessee', 'pr': 48.8, 'pr_rank': 130, 'sos': 59.34, 'sos_rank': 127, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Jacksonville State', 'team_norm': 'Jacksonville State', 'team': 'Jacksonville State', 'pr': 59.88, 'pr_rank': 106, 'sos': 58.06, 'sos_rank': 134, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",21.0,24.0
2025,10,2025-10-30T00:00:00Z,20251030_0000_florida_international_missouri_state,401757291,Missouri State,Missouri State,Florida International,Florida International,,,,,,,,,,,,,,,,,,,,,,,21.7,29.7,105.7,264.5,370.2,153.3,243.7,397.0,-0.2,3-3,,123,68,109,54,54,48,21.8,27.7,187.8,191.2,379.0,142.5,267.3,409.8,-0.3,3-3,,58,116,106,42,79,54,"{'schedule_row': {'id': 401757291, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-30T00:00:00Z', 'home_team': 'Missouri State', 'away_team': 'Florida International', 'venue': 'Plaster Sports Complex', 'conference_game': True}, 'league_metrics_home': {'Team': 'Missouri State', 'RY(O)': 105.7, 'R(O)_RY': 123, 'PY(O)': 264.5, 'R(O)_PY': 68, 'TY(O)': 370.2, 'R(O)_TY': 109, 'RY(D)': 153.3, 'R(D)_RY': 54, 'PY(D)': 243.7, 'R(D)_PY': 54, 'TY(D)': 397.0, 'R(D)_TY': 48, 'TO': -0.2, 'PF': 21.7, 'PA': 29.7, 'SU': '3-3', 'ATS': None}, 'league_metrics_away': {'Team': 'Florida International', 'RY(O)': 187.8, 'R(O)_RY': 58, 'PY(O)': 191.2, 'R(O)_PY': 116, 'TY(O)': 379.0, 'R(O)_TY': 106, 'RY(D)': 142.5, 'R(D)_RY': 42, 'PY(D)': 267.3, 'R(D)_PY': 79, 'TY(D)': 409.8, 'R(D)_TY': 54, 'TO': -0.3, 'PF': 21.8, 'PA': 27.7, 'SU': '3-3', 'ATS': None}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Fla. International', 'team_norm': 'Fla. International', 'team': 'Fla. International', 'pr': 56.57, 'pr_rank': 115, 'sos': 61.17, 'sos_rank': 110, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",28.0,21.0
2025,10,2025-10-30T23:30:00Z,20251030_2330_marshall_coastal_carolina,401761640,Coastal Carolina,Coastal Carolina,Marshall,Marshall,,,,,,,,59.25,111.0,65.59,85.0,62.67,60.14,102.0,121.0,4.37,-6.34,,,,,,19.0,28.3,172.0,135.7,307.7,182.3,229.4,411.7,-0.7,4-3,,46,129,115,110,80,102,35.1,30.9,197.3,192.4,389.7,137.3,276.3,413.6,1.1,4-3,,29,99,63,63,114,104,"{'schedule_row': {'id': 401761640, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-30T23:30:00Z', 'home_team': 'Coastal Carolina', 'away_team': 'Marshall', 'venue': 'Brooks Stadium (SC)', 'conference_game': True}, 'league_metrics_home': {'Team': 'Coastal Carolina', 'RY(O)': 172.0, 'R(O)_RY': 46, 'PY(O)': 135.7, 'R(O)_PY': 129, 'TY(O)': 307.7, 'R(O)_TY': 115, 'RY(D)': 182.3, 'R(D)_RY': 110, 'PY(D)': 229.4, 'R(D)_PY': 80, 'TY(D)': 411.7, 'R(D)_TY': 102, 'TO': -0.7, 'PF': 19.0, 'PA': 28.3, 'SU': '4-3', 'ATS': None}, 'league_metrics_away': {'Team': 'Marshall', 'RY(O)': 197.3, 'R(O)_RY': 29, 'PY(O)': 192.4, 'R(O)_PY': 99, 'TY(O)': 389.7, 'R(O)_TY': 63, 'RY(D)': 137.3, 'R(D)_RY': 63, 'PY(D)': 276.3, 'R(D)_PY': 114, 'TY(D)': 413.6, 'R(D)_TY': 104, 'TO': 1.1, 'PF': 35.1, 'PA': 30.9, 'SU': '4-3', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Coastal Carolina', 'team_norm': 'Coastal Carolina', 'team': 'Coastal Carolina', 'pr': 59.25, 'pr_rank': 111, 'sos': 62.67, 'sos_rank': 102, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Marshall', 'team_norm': 'Marshall', 'team': 'Marshall', 'pr': 65.59, 'pr_rank': 85, 'sos': 60.14, 'sos_rank': 121, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",44.0,27.0
2025,10,2025-10-30T23:30:00Z,20251030_2330_tulane_utsa,401762443,UTSA,Utsa,Tulane,Tulane,4.5,53.5,158.0,-192.0,fanduel,False,2025-10-23T02:42:26Z,65.95,82.0,72.91,54.0,64.64,67.45,77.0,58.0,4.37,-6.96,,AWAY,-4.5,,,32.0,30.9,190.3,199.3,389.6,151.0,247.0,398.0,0.0,3-4,,36,97,64,76,95,93,25.9,22.3,181.0,223.7,404.7,161.7,223.1,384.9,0.7,6-1,,42,72,57,89,70,84,"{'schedule_row': {'id': 401762443, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-30T23:30:00Z', 'home_team': 'UTSA', 'away_team': 'Tulane', 'venue': 'Alamodome', 'conference_game': True}, 'league_metrics_home': {'Team': 'Utsa', 'RY(O)': 190.3, 'R(O)_RY': 36, 'PY(O)': 199.3, 'R(O)_PY': 97, 'TY(O)': 389.6, 'R(O)_TY': 64, 'RY(D)': 151.0, 'R(D)_RY': 76, 'PY(D)': 247.0, 'R(D)_PY': 95, 'TY(D)': 398.0, 'R(D)_TY': 93, 'TO': 0.0, 'PF': 32.0, 'PA': 30.9, 'SU': '3-4', 'ATS': None}, 'league_metrics_away': {'Team': 'Tulane', 'RY(O)': 181.0, 'R(O)_RY': 42, 'PY(O)': 223.7, 'R(O)_PY': 72, 'TY(O)': 404.7, 'R(O)_TY': 57, 'RY(D)': 161.7, 'R(D)_RY': 89, 'PY(D)': 223.1, 'R(D)_PY': 70, 'TY(D)': 384.9, 'R(D)_TY': 84, 'TO': 0.7, 'PF': 25.9, 'PA': 22.3, 'SU': '6-1', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'UTSA', 'team_norm': 'Utsa', 'team': 'Utsa', 'pr': 65.95, 'pr_rank': 82, 'sos': 64.64, 'sos_rank': 77, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Tulane', 'team_norm': 'Tulane', 'team': 'Tulane', 'pr': 72.91, 'pr_rank': 54, 'sos': 67.45, 'sos_rank': 58, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'odds_row': {'source': 'staging', 'season': 2025, 'week': 10, 'markets': {'spreads': {'book': 'fanduel', 'fetch_ts': '2025-10-23T02:42:26Z', 'line': {'spread_home_relative': 4.5, 'favored_side': 'AWAY', 'spread_favored_team': -4.5, 'home_price': -110, 'away_price': -110, 'raw_outcomes': [{'name': 'Tulane Green Wave', 'token': 'tulane', 'price': -110, 'point': -4.5}, {'name': 'UTSA Roadrunners', 'token': 'utsa', 'price': -110, 'point': 4.5}]}}, 'totals': {'book': 'fanduel', 'fetch_ts': '2025-10-23T02:42:26Z', 'line': {'total_points': 53.5, 'over_price': -110, 'under_price': -110, 'raw_outcomes': [{'name': 'Over', 'token': 'over', 'price': -110, 'point': 53.5}, {'name': 'Under', 'token': 'under', 'price': -110, 'point': 53.5}]}}, 'h2h': {'book': 'fanduel', 'fetch_ts': '2025-10-23T02:42:26Z', 'line': {'moneyline_home': 158, 'moneyline_away': -192, 'raw_outcomes': [{'name': 'Tulane Green Wave', 'token': 'tulane', 'price': -192, 'point': None}, {'name': 'UTSA Roadrunners', 'token': 'utsa', 'price': 158, 'point': None}]}}}}}",48.0,26.0
2025,10,2025-10-31T23:00:00Z,20251031_2300_memphis_rice,401762497,Rice,Rice,Memphis,Memphis,,,,,,,,51.38,127.0,74.09,50.0,60.03,58.62,122.0,130.0,4.37,-22.71,,,,,,19.4,27.1,215.4,91.1,306.6,158.6,199.1,357.7,0.3,3-4,,18,133,117,86,42,59,38.1,18.3,221.4,216.0,437.4,106.7,228.4,335.1,0.9,6-1,,15,83,34,25,78,41,"{'schedule_row': {'id': 401762497, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-31T23:00:00Z', 'home_team': 'Rice', 'away_team': 'Memphis', 'venue': 'Rice Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Rice', 'RY(O)': 215.4, 'R(O)_RY': 18, 'PY(O)': 91.1, 'R(O)_PY': 133, 'TY(O)': 306.6, 'R(O)_TY': 117, 'RY(D)': 158.6, 'R(D)_RY': 86, 'PY(D)': 199.1, 'R(D)_PY': 42, 'TY(D)': 357.7, 'R(D)_TY': 59, 'TO': 0.3, 'PF': 19.4, 'PA': 27.1, 'SU': '3-4', 'ATS': None}, 'league_metrics_away': {'Team': 'Memphis', 'RY(O)': 221.4, 'R(O)_RY': 15, 'PY(O)': 216.0, 'R(O)_PY': 83, 'TY(O)': 437.4, 'R(O)_TY': 34, 'RY(D)': 106.7, 'R(D)_RY': 25, 'PY(D)': 228.4, 'R(D)_PY': 78, 'TY(D)': 335.1, 'R(D)_TY': 41, 'TO': 0.9, 'PF': 38.1, 'PA': 18.3, 'SU': '6-1', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Rice', 'team_norm': 'Rice', 'team': 'Rice', 'pr': 51.38, 'pr_rank': 127, 'sos': 60.03, 'sos_rank': 122, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Memphis', 'team_norm': 'Memphis', 'team': 'Memphis', 'pr': 74.09, 'pr_rank': 50, 'sos': 58.62, 'sos_rank': 130, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",14.0,38.0
2025,10,2025-10-31T23:30:00Z,20251031_2330_north_carolina_syracuse,401754575,Syracuse,Syracuse,North Carolina,North Carolina,,,,,,,,70.97,62.0,65.28,86.0,74.41,66.73,13.0,65.0,4.37,5.69,,,,,,26.7,29.9,107.1,294.3,401.4,154.0,270.0,424.0,-1.1,3-4,,114,14,58,79,111,108,18.7,25.0,105.2,163.3,268.5,119.3,240.8,360.2,-0.3,2-4,,124,127,130,24,50,26,"{'schedule_row': {'id': 401754575, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-10-31T23:30:00Z', 'home_team': 'Syracuse', 'away_team': 'North Carolina', 'venue': 'JMA Wireless Dome', 'conference_game': True}, 'league_metrics_home': {'Team': 'Syracuse', 'RY(O)': 107.1, 'R(O)_RY': 114, 'PY(O)': 294.3, 'R(O)_PY': 14, 'TY(O)': 401.4, 'R(O)_TY': 58, 'RY(D)': 154.0, 'R(D)_RY': 79, 'PY(D)': 270.0, 'R(D)_PY': 111, 'TY(D)': 424.0, 'R(D)_TY': 108, 'TO': -1.1, 'PF': 26.7, 'PA': 29.9, 'SU': '3-4', 'ATS': None}, 'league_metrics_away': {'Team': 'North Carolina', 'RY(O)': 105.2, 'R(O)_RY': 124, 'PY(O)': 163.3, 'R(O)_PY': 127, 'TY(O)': 268.5, 'R(O)_TY': 130, 'RY(D)': 119.3, 'R(D)_RY': 24, 'PY(D)': 240.8, 'R(D)_PY': 50, 'TY(D)': 360.2, 'R(D)_TY': 26, 'TO': -0.3, 'PF': 18.7, 'PA': 25.0, 'SU': '2-4', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Syracuse', 'team_norm': 'Syracuse', 'team': 'Syracuse', 'pr': 70.97, 'pr_rank': 62, 'sos': 74.41, 'sos_rank': 13, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'North Carolina', 'team_norm': 'North Carolina', 'team': 'North Carolina', 'pr': 65.28, 'pr_rank': 86, 'sos': 66.73, 'sos_rank': 65, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",10.0,27.0
2025,10,2025-11-01T00:00:00Z,20251101_0000_sam_houston_louisiana_tech,401757290,Louisiana Tech,Louisiana Tech,Sam Houston,Sam Houston,,,,,,,,63.26,91.0,45.49,133.0,60.96,63.13,114.0,98.0,4.37,17.77,,,,,,24.5,17.2,146.2,165.3,311.5,107.0,248.7,355.7,1.0,4-2,,98,125,126,15,55,22,17.0,38.9,116.0,180.0,296.0,183.9,272.4,456.3,0.0,0-7,,106,109,120,111,112,118,"{'schedule_row': {'id': 401757290, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-11-01T00:00:00Z', 'home_team': 'Louisiana Tech', 'away_team': 'Sam Houston', 'venue': 'Joe Aillet Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Louisiana Tech', 'RY(O)': 146.2, 'R(O)_RY': 98, 'PY(O)': 165.3, 'R(O)_PY': 125, 'TY(O)': 311.5, 'R(O)_TY': 126, 'RY(D)': 107.0, 'R(D)_RY': 15, 'PY(D)': 248.7, 'R(D)_PY': 55, 'TY(D)': 355.7, 'R(D)_TY': 22, 'TO': 1.0, 'PF': 24.5, 'PA': 17.2, 'SU': '4-2', 'ATS': None}, 'league_metrics_away': {'Team': 'Sam Houston', 'RY(O)': 116.0, 'R(O)_RY': 106, 'PY(O)': 180.0, 'R(O)_PY': 109, 'TY(O)': 296.0, 'R(O)_TY': 120, 'RY(D)': 183.9, 'R(D)_RY': 111, 'PY(D)': 272.4, 'R(D)_PY': 112, 'TY(D)': 456.3, 'R(D)_TY': 118, 'TO': 0.0, 'PF': 17.0, 'PA': 38.9, 'SU': '0-7', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Louisiana Tech', 'team_norm': 'Louisiana Tech', 'team': 'Louisiana Tech', 'pr': 63.26, 'pr_rank': 91, 'sos': 60.96, 'sos_rank': 114, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Sam Houston State', 'team_norm': 'Sam Houston State', 'team': 'Sam Houston State', 'pr': 45.49, 'pr_rank': 133, 'sos': 63.13, 'sos_rank': 98, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",55.0,14.0
2025,10,2025-11-01T16:00:00Z,20251101_1600_army_air_force,401760401,Air Force,Air Force,Army,Army,,,,,,,,60.0,101.0,65.9,83.0,63.94,67.34,86.0,59.0,4.37,-5.9,,,,,,36.3,37.3,283.9,188.4,472.3,178.9,307.1,486.0,-0.1,2-5,,1,103,15,106,120,124,23.9,24.0,275.7,85.6,361.3,141.0,207.7,348.7,0.0,3-4,,3,134,85,66,52,52,"{'schedule_row': {'id': 401760401, 'season': 2025, 'week': 10, 'kickoff_iso_utc': '2025-11-01T16:00:00Z', 'home_team': 'Air Force', 'away_team': 'Army', 'venue': 'Falcon Stadium', 'conference_game': False}, 'league_metrics_home': {'Team': 'Air Force', 'RY(O)': 283.9, 'R(O)_RY': 1, 'PY(O)': 188.4, 'R(O)_PY': 103, 'TY(O)': 472.3, 'R(O)_TY': 15, 'RY(D)': 178.9, 'R(D)_RY': 106, 'PY(D)': 307.1, 'R(D)_PY': 120, 'TY(D)': 486.0, 'R(D)_TY': 124, 'TO': -0.1, 'PF': 36.3, 'PA': 37.3, 'SU': '2-5', 'ATS': None}, 'league_metrics_away': {'Team': 'Army', 'RY(O)': 275.7, 'R(O)_RY': 3, 'PY(O)': 85.6, 'R(O)_PY': 134, 'TY(O)': 361.3, 'R(O)_TY': 85, 'RY(D)': 141.0, 'R(D)_RY': 66, 'PY(D)': 207.7, 'R(D)_PY': 52, 'TY(D)': 348.7, 'R(D)_TY': 52, 'TO': 0.0, 'PF': 23.9, 'PA': 24.0, 'SU': '3-4', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 10, 'team_raw': 'Air Force', 'team_norm': 'Air Force', 'team': 'Air Force', 'pr': 60.0, 'pr_rank': 101, 'sos': 63.94, 'sos_rank': 86, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}, 'sagarin_away': {'season': 2025, 'week': 10, 'team_raw': 'Army West Point', 'team_norm': 'Army West Point', 'team': 'Army West Point', 'pr': 65.9, 'pr_rank': 83, 'sos': 67.34, 'sos_rank': 59, 'hfa': 4.37, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': '2025-10-21 05:09:55.539337+00:00', 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 18 SATURDAY - WEEK 8'}}",17.0,20.0
