season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,7,2025-10-08T23:30:00Z,20251008_2330_missouri_state_middle_tennessee,401757278,Middle Tennessee,Missouri State,Middle Tennessee,Missouri State,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401757278, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-08T23:30:00Z', 'home_team': 'Middle Tennessee', 'away_team': 'Missouri State', 'venue': 'Johnny ""Red"" Floyd Stadium', 'conference_game': True}}"
2025,7,2025-10-09T00:00:00Z,20251009_0000_liberty_utep,401757277,UTEP,Liberty,Utep,Liberty,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401757277, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-09T00:00:00Z', 'home_team': 'UTEP', 'away_team': 'Liberty', 'venue': 'Sun Bowl', 'conference_game': True}}"
2025,7,2025-10-09T23:00:00Z,20251009_2300_harding_university_southeastern_oklahoma_state,401773365,Southeastern Oklahoma State,Harding University,Southeastern Oklahoma State,Harding University,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401773365, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-09T23:00:00Z', 'home_team': 'Southeastern Oklahoma State', 'away_team': 'Harding University', 'venue': 'Paul Laird Field', 'conference_game': True}}"
2025,7,2025-10-09T23:00:00Z,20251009_2300_louisiana_tech_kennesaw_state,401757280,Kennesaw State,Louisiana Tech,Kennesaw State,Louisiana Tech,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401757280, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-09T23:00:00Z', 'home_team': 'Kennesaw State', 'away_team': 'Louisiana Tech', 'venue': 'Fifth Third Stadium', 'conference_game': True}}"
2025,7,2025-10-09T23:30:00Z,20251009_2330_east_carolina_tulane,401762480,Tulane,East Carolina,Tulane,East Carolina,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401762480, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-09T23:30:00Z', 'home_team': 'Tulane', 'away_team': 'East Carolina', 'venue': 'Yulman Stadium', 'conference_game': True}}"
2025,7,2025-10-10T00:00:00Z,20251010_0000_jacksonville_state_sam_houston,401757279,Sam Houston,Jacksonville State,Sam Houston,Jacksonville State,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401757279, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-10T00:00:00Z', 'home_team': 'Sam Houston', 'away_team': 'Jacksonville State', 'venue': 'BBVA Compass Stadium', 'conference_game': True}}"
2025,7,2025-10-10T00:00:00Z,20251010_0000_southern_miss_georgia_southern,401761622,Georgia Southern,Southern Miss,Georgia Southern,Southern Miss,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401761622, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-10T00:00:00Z', 'home_team': 'Georgia Southern', 'away_team': 'Southern Miss', 'venue': 'Allen E. Paulson Stadium', 'conference_game': True}}"
2025,7,2025-10-10T23:00:00Z,20251010_2300_cornell_harvard,401767691,Harvard,Cornell,Harvard,Cornell,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401767691, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-10T23:00:00Z', 'home_team': 'Harvard', 'away_team': 'Cornell', 'venue': 'Harvard Stadium', 'conference_game': True}}"
2025,7,2025-10-10T23:00:00Z,20251010_2300_brown_bryant,401767034,Bryant,Brown,Bryant,Brown,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401767034, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-10T23:00:00Z', 'home_team': 'Bryant', 'away_team': 'Brown', 'venue': 'Bulldog Stadium', 'conference_game': False}}"
2025,7,2025-10-10T23:00:00Z,20251010_2300_marist_pennsylvania,401767629,Pennsylvania,Marist,Pennsylvania,Marist,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'schedule_row': {'id': 401767629, 'season': 2025, 'week': 7, 'kickoff_iso_utc': '2025-10-10T23:00:00Z', 'home_team': 'Pennsylvania', 'away_team': 'Marist', 'venue': 'Franklin Field', 'conference_game': False}}"
