Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,245.8,13,222.2,81,468.0,30,166.8,83,312.4,122,479.2,118,-0.4,36.4,37.8,1-4,
Akron,144.3,62,177.7,87,322.0,81,191.5,117,262.7,124,454.2,126,0.2,18.3,30.5,2-4,
Alabama Crimson Tide,126.8,100,325.4,12,452.2,39,155.6,70,130.4,5,286.0,20,1.6,36.4,16.0,4-1,
App State,148.2,82,271.0,43,419.2,64,87.0,14,263.4,102,350.4,52,-0.8,23.4,26.4,3-2,
Arizona,144.4,84,286.2,32,430.6,54,98.4,22,147.2,11,245.6,10,0.8,33.2,15.6,4-1,
Arizona State,217.6,26,207.8,90,425.4,57,78.6,7,242.8,81,321.4,36,1.0,29.2,21.2,4-1,
Arkansas,214.2,27,300.8,27,515.0,18,169.2,86,257.0,95,426.2,96,-0.4,37.4,30.0,2-3,
Arkansas State,119.8,85,243.5,30,363.3,50,217.7,121,260.2,121,477.8,128,0.2,23.3,31.7,2-4,
Army,278.4,5,84.8,130,363.2,87,155.6,70,216.6,54,372.2,59,-0.2,25.2,27.4,2-3,
Auburn,169.0,66,173.2,112,342.2,103,88.6,17,227.6,64,316.2,33,0.8,27.6,16.4,3-2,
Ball State,153.8,77,135.2,126,289.0,121,169.0,85,247.8,86,416.8,93,-0.6,16.4,29.4,2-3,
Baylor,145.5,59,348.7,1,494.2,1,177.5,110,225.7,108,403.2,122,-0.7,36.3,29.7,4-2,
Boise State,197.4,40,282.2,35,479.6,23,165.0,81,186.2,36,351.2,53,-0.2,32.2,25.4,3-2,
Boston College,85.2,122,313.4,19,398.6,73,136.2,48,230.8,68,367.0,58,-1.2,31.4,31.6,1-4,
Bowling Green,156.6,72,166.0,118,322.6,113,133.4,46,233.2,70,366.6,57,0.6,21.2,25.8,2-3,
Buffalo,167.8,38,184.7,83,352.5,59,143.8,89,201.5,80,345.3,92,-0.2,25.2,21.3,3-3,
Byu,236.2,19,217.8,84,454.0,37,92.6,19,147.4,12,240.0,8,1.0,38.4,12.2,5-0,
California,98.5,102,253.7,26,352.2,60,122.8,59,207.3,89,330.2,81,-0.5,24.2,22.5,4-2,
Central Michigan,192.0,22,150.2,107,342.2,69,158.8,100,225.7,108,384.5,111,0.7,21.8,28.8,3-3,
Charlotte,96.8,119,236.4,70,333.2,105,208.0,109,258.2,97,466.2,114,-1.4,19.8,34.2,1-4,
Cincinnati,206.0,34,273.2,40,479.2,25,116.6,37,261.8,99,378.4,66,-0.4,39.2,20.8,4-1,
Clemson Tigers,110.8,111,279.0,37,389.8,78,109.4,31,234.6,72,343.6,49,-0.6,23.4,20.2,2-3,
Coastal Carolina,134.6,95,138.8,124,273.4,123,200.8,107,230.4,67,431.2,99,-1.2,13.0,30.6,2-3,
Colorado,144.7,60,211.7,59,356.3,55,181.8,112,218.8,101,400.7,119,-0.5,25.0,24.8,2-4,
Colorado State,152.6,79,193.8,100,346.4,99,191.6,102,201.4,45,393.0,77,-0.4,17.0,27.4,1-4,
Delaware,146.0,83,276.2,39,422.2,61,155.6,70,239.0,77,394.6,79,-0.2,29.6,26.4,3-2,
Duke,157.2,46,310.0,3,467.2,8,123.2,60,252.7,119,375.8,105,0.8,36.5,25.5,4-2,
East Carolina,141.0,88,315.0,17,456.0,35,117.8,38,186.4,37,304.2,26,0.8,30.4,13.4,3-2,
Eastern Michigan,154.8,48,222.7,45,377.5,38,252.7,123,223.5,105,476.2,127,0.0,25.0,35.7,1-5,
Florida,130.2,97,223.8,79,354.0,94,101.6,23,196.2,42,297.8,24,-0.4,23.4,17.0,2-3,
Florida Atlantic,116.6,104,318.4,16,435.0,52,182.0,93,202.4,46,384.4,71,-2.0,28.8,33.4,2-3,
Florida International,175.6,57,188.6,102,364.2,86,147.8,60,275.8,110,423.6,94,-1.0,21.2,32.0,2-3,
Florida State,295.8,2,265.4,46,561.2,7,108.6,28,195.8,41,304.4,27,-0.6,46.8,20.8,3-2,
Fresno State,172.7,33,196.3,71,369.0,46,113.7,49,198.2,75,311.8,61,0.0,30.7,19.5,5-1,
Georgia Bulldogs,207.4,32,231.8,73,439.2,48,82.0,12,231.2,69,313.2,31,-0.4,34.6,18.4,4-1,
Georgia Southern,136.6,93,211.8,88,348.4,96,265.2,122,217.8,56,483.0,121,0.4,26.0,37.4,2-3,
Georgia State,95.0,120,233.4,72,328.4,110,225.6,114,235.6,73,461.2,110,-0.6,17.6,41.2,1-4,
Georgia Tech,232.0,21,244.0,67,476.0,27,166.6,82,190.4,40,357.0,54,-0.8,37.0,21.2,5-0,
Hawai'i,96.2,106,275.5,10,371.7,42,129.2,69,187.7,60,316.8,69,-1.0,25.7,23.5,4-2,
Houston,158.8,70,199.2,97,358.0,90,141.6,52,181.2,30,322.8,37,0.6,27.2,17.6,4-1,
Illinois,130.8,71,267.2,14,398.0,26,135.5,78,252.3,118,387.8,113,1.2,37.0,24.0,5-1,
Indiana,278.2,6,270.4,44,548.6,9,88.0,16,133.4,7,221.4,5,1.2,47.8,9.6,5-0,
Iowa,178.8,54,148.6,121,327.4,111,79.2,8,184.8,34,264.0,15,-0.2,29.4,15.6,3-2,
Iowa State,151.2,52,248.3,28,399.5,24,142.3,88,195.2,71,337.5,89,0.7,31.3,18.2,5-1,
Jacksonville State,263.6,8,143.8,122,407.4,70,169.8,87,226.6,62,396.4,82,0.2,29.6,26.8,2-3,
James Madison,246.6,12,143.4,123,390.0,77,80.8,11,137.4,9,218.2,4,-0.2,27.8,13.6,4-1,
Kansas,171.5,35,261.8,18,433.3,15,157.8,98,218.2,99,376.0,106,0.5,35.0,20.5,4-2,
Kansas State,144.5,61,226.3,41,370.8,43,167.8,108,208.3,92,376.2,107,0.5,27.5,26.8,2-4,
Kennesaw State,155.2,74,202.4,94,357.6,91,154.4,67,244.8,83,399.2,85,-0.6,19.4,23.2,3-2,
Kent State,73.4,125,186.8,103,260.2,125,245.2,120,262.4,100,507.6,123,-0.6,14.6,44.0,1-4,
Kentucky,159.6,69,172.2,114,331.8,108,154.6,68,248.6,88,403.2,88,-0.4,24.4,27.8,2-3,
Liberty,163.8,67,175.6,110,339.4,104,227.4,115,162.8,19,390.2,74,-0.4,17.0,23.2,1-4,
Louisiana,212.2,29,120.4,127,332.6,106,221.6,113,179.8,27,401.4,86,-0.2,28.2,32.2,2-3,
Louisiana Tech,148.2,82,164.6,119,312.8,117,106.4,26,240.4,78,346.8,50,1.6,28.0,13.6,4-1,
Louisville,115.2,107,289.0,31,404.2,71,111.6,32,150.4,14,262.0,13,0.2,36.0,21.0,4-1,
Lsu,106.4,113,259.4,52,365.4,85,85.4,13,208.6,51,294.0,23,0.6,27.0,12.2,4-1,
Marshall,193.6,43,169.0,116,362.6,88,134.8,47,244.8,83,379.6,68,0.2,31.6,31.0,2-3,
Maryland,93.2,121,256.4,56,349.6,95,97.4,21,221.6,58,319.0,35,1.4,30.0,13.4,4-1,
Massachusetts,61.2,126,171.4,115,232.6,127,192.0,103,248.8,89,440.8,102,0.0,10.4,35.8,0-5,
Memphis,238.5,4,211.5,60,450.0,12,88.0,25,224.7,106,312.7,62,0.8,40.5,16.2,6-0,
Miami,163.4,68,264.2,48,427.6,55,87.6,15,189.0,39,276.6,16,1.2,35.0,13.6,5-0,
Miami (oh),149.4,80,195.4,99,344.8,102,144.2,56,186.6,38,330.8,44,0.2,23.6,23.4,2-3,
Michigan,240.4,16,200.6,95,441.0,47,77.6,6,206.4,50,284.0,19,1.2,32.8,16.2,4-1,
Michigan State,139.6,91,207.4,91,347.0,98,112.8,33,249.6,91,362.4,56,-0.4,32.8,30.6,3-2,
Middle Tennessee,82.2,123,229.6,75,311.8,118,174.8,90,216.0,53,390.8,75,0.0,16.4,31.0,1-4,
Minnesota,129.4,98,227.8,77,357.2,92,80.6,10,199.8,43,280.4,17,0.4,27.4,21.4,3-2,
Mississippi State,183.8,25,211.7,59,395.5,28,164.3,105,170.8,48,335.2,87,0.8,33.7,19.8,4-2,
Missouri,292.4,3,255.6,57,548.0,10,56.8,1,141.4,10,198.2,2,0.0,45.2,14.6,5-0,
Missouri State,110.2,112,261.8,49,372.0,84,164.2,79,239.0,77,403.2,88,-0.2,21.6,31.6,2-3,
Navy,318.6,1,173.0,113,491.6,22,115.6,36,214.0,52,329.6,42,0.2,37.4,19.6,5-0,
Nc State,166.5,39,282.3,7,448.8,13,132.8,76,243.2,116,376.0,106,-0.7,33.8,25.0,4-2,
Nebraska,134.0,96,320.2,15,454.2,36,156.8,73,91.8,1,248.6,11,1.2,42.4,16.2,4-1,
Nevada,177.4,55,143.4,123,320.8,114,138.0,50,236.2,74,374.2,61,-1.8,15.4,25.6,1-4,
New Mexico,155.0,75,242.4,69,397.4,74,120.6,41,271.2,109,391.8,76,-1.4,30.0,24.2,3-2,
New Mexico State,51.0,127,260.8,50,311.8,118,153.0,65,246.2,84,399.2,85,0.4,22.2,22.8,3-2,
North Carolina,102.2,114,162.6,120,264.8,124,127.2,42,246.2,84,373.4,60,0.2,18.8,25.8,2-3,
North Texas,181.6,51,256.6,55,438.2,49,180.4,92,135.8,8,316.2,33,1.6,44.8,20.0,5-0,
Northern Illinois,142.6,86,101.0,129,243.6,126,158.0,74,170.8,22,328.8,41,-0.2,11.0,21.2,1-4,
Northwestern,196.0,42,185.0,105,381.0,82,146.8,58,165.0,20,311.8,30,-1.2,23.6,17.0,3-2,
Notre Dame Fighting Irish,180.6,53,283.0,34,463.6,32,118.2,39,258.0,96,376.2,64,1.0,40.8,23.6,3-2,
Ohio,196.3,20,214.2,54,410.5,21,165.0,106,236.8,113,401.8,120,0.3,26.3,26.0,3-3,
Ohio State Buckeyes,172.2,64,279.8,36,452.0,40,91.4,18,124.4,4,215.8,3,0.0,37.4,5.0,5-0,
Oklahoma,137.8,92,278.0,38,415.8,66,74.8,4,118.4,2,193.2,1,-0.8,33.8,7.2,5-0,
Oklahoma State,140.6,89,175.4,111,316.0,115,179.6,91,294.6,117,474.2,117,0.4,16.4,36.2,1-4,
Old Dominion,251.6,9,247.4,63,499.0,20,164.6,80,149.2,13,313.8,32,0.4,36.2,14.6,4-1,
Ole Miss,209.2,30,322.6,13,531.8,14,164.2,79,172.4,23,336.6,45,-0.6,40.6,18.8,5-0,
Oregon Ducks,239.4,17,264.4,47,503.8,19,114.8,35,123.4,3,238.2,7,1.0,46.6,12.2,5-0,
Oregon State,97.2,104,258.5,22,355.7,56,159.3,101,269.0,125,428.3,124,-1.0,18.3,35.0,0-6,
Penn State,175.4,58,213.6,86,389.0,80,151.8,64,156.8,16,308.6,29,0.8,38.6,17.8,3-2,
Pittsburgh,116.2,105,307.0,24,423.2,58,66.4,3,227.2,63,293.6,22,-0.2,41.0,19.6,3-2,
Purdue,117.2,103,284.0,33,401.2,72,150.2,62,248.4,87,398.6,84,-1.4,27.8,29.8,2-3,
Rice,219.7,8,93.2,128,312.8,83,153.2,94,191.3,65,344.5,90,0.7,20.5,21.5,3-3,
Rutgers,141.6,87,293.6,29,435.2,51,128.8,43,218.4,57,347.2,51,0.2,39.0,25.4,3-2,
Sam Houston,100.6,117,177.0,109,277.6,122,148.4,61,308.4,120,456.8,109,-0.2,15.0,41.6,0-5,
San Diego State,175.6,57,186.4,104,359.8,89,104.2,24,158.0,17,262.2,14,0.4,28.0,12.6,4-1,
San José State,113.4,109,305.0,25,418.4,65,133.4,46,290.4,115,423.8,95,-0.4,23.2,28.0,2-3,
Smu,128.0,99,284.0,33,412.0,67,114.2,34,323.4,126,437.6,101,0.6,34.0,24.8,3-2,
South Alabama,202.5,14,178.0,86,380.5,34,202.8,119,169.2,47,372.0,104,-0.2,25.0,31.7,1-5,
South Carolina,101.0,116,208.8,89,309.8,119,143.6,55,180.2,28,323.8,38,1.0,24.8,18.8,3-2,
South Florida,188.8,45,257.2,53,446.0,42,132.0,45,246.6,85,378.6,67,0.8,36.2,22.4,4-1,
Southern Miss,140.0,90,249.2,62,389.2,79,167.4,84,230.0,66,397.4,83,1.2,31.0,26.2,3-2,
Stanford,98.6,118,233.4,72,332.0,107,114.2,34,315.0,123,429.2,98,-0.2,20.6,29.4,2-3,
Syracuse,112.3,94,320.7,2,433.0,16,160.2,104,291.2,127,451.3,125,-1.0,29.0,29.8,3-3,
Tcu,126.6,101,311.6,20,438.2,49,131.2,44,249.2,90,380.4,70,0.8,36.8,21.4,4-1,
Temple,172.2,64,182.0,106,354.2,93,158.0,74,184.0,33,342.0,48,1.4,30.2,25.0,3-2,
Tennessee,204.4,36,337.2,9,541.6,11,114.2,34,259.2,98,373.4,60,0.0,51.0,29.0,4-1,
Texas Aandm,196.2,41,271.4,42,467.6,31,109.2,30,180.4,29,289.6,21,0.0,34.8,21.0,5-0,
Texas Longhorns,172.8,63,246.6,64,419.4,63,79.6,9,181.4,31,261.0,12,0.6,29.6,12.0,3-2,
Texas State,236.4,18,222.0,82,458.4,33,188.6,97,200.0,44,388.6,73,-0.8,35.0,26.2,3-2,
Texas Tech,208.2,31,361.4,5,569.6,4,65.8,2,177.8,26,243.6,9,1.2,48.6,11.2,5-0,
Toledo,213.8,28,230.0,74,443.8,44,95.0,20,131.8,6,226.8,6,0.8,35.8,12.4,3-2,
Troy,154.0,76,168.8,117,322.8,112,158.4,75,170.0,21,328.4,40,-0.8,22.6,23.2,3-2,
Tulane,206.0,34,188.6,102,394.6,75,147.8,60,251.4,94,399.2,85,1.4,26.2,24.0,4-1,
Tulsa,153.0,50,216.5,51,369.5,45,181.3,111,203.7,82,385.0,112,-0.5,18.7,26.3,2-4,
USC Trojans,226.0,24,338.0,8,564.0,5,107.8,27,251.0,93,358.8,55,0.8,48.4,23.0,4-1,
Uab,114.4,108,307.8,23,422.2,61,228.4,116,217.0,55,445.4,103,-1.0,28.8,39.0,2-3,
Ucf,202.6,37,222.8,80,425.4,57,156.2,72,150.8,15,307.0,28,0.4,31.8,17.4,3-2,
Ucla,155.4,73,190.8,101,346.2,100,218.2,112,175.2,24,393.4,78,-0.2,19.8,32.4,1-4,
Uconn,191.8,23,286.8,6,478.7,3,154.8,95,223.0,104,377.8,108,1.2,37.0,22.7,4-2,
Ul Monroe,192.2,44,137.6,125,329.8,109,117.8,38,277.4,111,395.2,80,0.0,19.0,31.2,3-2,
Unlv,196.0,42,215.8,85,411.8,68,142.2,53,271.2,109,413.4,90,1.6,35.6,26.0,5-0,
Utah,242.6,15,226.6,78,469.2,29,140.8,51,159.6,18,300.4,25,0.2,39.0,14.6,4-1,
Utah State,169.8,65,251.8,61,421.6,62,187.6,96,226.0,61,413.6,91,0.4,36.4,30.4,3-2,
Utep,101.2,115,244.8,66,346.0,101,155.8,71,185.6,35,341.4,47,-1.0,20.8,26.6,1-4,
Utsa,185.4,49,206.8,92,392.2,76,119.4,40,267.2,103,386.6,72,0.2,29.2,29.6,2-3,
Vanderbilt,209.5,10,258.8,21,468.3,6,90.7,29,222.7,103,313.3,63,0.7,43.2,19.3,5-1,
Virginia,220.3,7,271.7,11,492.0,2,121.0,57,240.0,114,361.0,100,0.5,43.0,23.8,5-1,
Virginia Tech,156.3,47,202.7,68,359.0,53,131.7,74,225.2,107,356.8,97,-0.5,23.5,28.3,2-4,
Wake Forest,153.0,78,245.6,65,398.6,73,142.4,54,182.6,32,325.0,39,-0.4,27.0,21.2,3-2,
Washington,192.2,44,255.2,58,447.4,41,78.6,7,205.2,49,283.8,18,1.0,39.4,19.8,4-1,
Washington State,79.6,124,228.4,76,308.0,120,150.8,63,179.8,27,330.6,43,-1.2,20.6,28.8,3-2,
West Virginia,206.3,11,172.0,93,378.3,37,158.3,99,234.5,112,392.8,115,-0.2,22.3,28.5,2-4,
Western Kentucky,123.5,82,306.2,4,429.7,17,195.8,118,199.0,76,394.8,116,0.2,33.7,22.8,5-1,
Western Michigan,147.3,56,147.7,108,295.0,94,128.0,66,187.2,59,315.2,65,0.2,19.7,20.7,3-3,
Wisconsin,113.2,110,200.0,96,313.2,116,75.0,5,241.6,79,316.6,34,-0.6,18.6,19.8,2-3,
Wyoming,148.8,81,198.8,98,347.6,97,161.2,77,177.2,25,338.4,46,-0.2,16.8,21.2,2-3,
