season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,home_team_norm,away_team_raw,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,home_pr_rank,away_pr,away_pr_rank,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,favored_side,spread_favored_team,rating_diff_favored_team,rating_vs_odds_favored_team,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,8,2025-10-14T23:00:00Z,20251014_2300_new_mexico_state_liberty,401757282,Liberty,Liberty,New Mexico State,New Mexico State,,,,,,,,59.29,109.0,50.97,128.0,59.91,53.84,120.0,152.0,4.31,8.32,,,,,,17.3,20.7,164.0,186.8,350.8,198.8,154.2,353.0,0.0,2-4,,60,101,97,111,12,60,22.2,22.8,51.0,260.8,311.8,153.0,246.2,399.2,0.4,3-2,,127,78,127,43,51,43,"{'schedule_row': {'id': 401757282, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-14T23:00:00Z', 'home_team': 'Liberty', 'away_team': 'New Mexico State', 'venue': 'Williams Stadium (VA)', 'conference_game': True}, 'league_metrics_home': {'Team': 'Liberty', 'RY(O)': 164.0, 'R(O)_RY': 60, 'PY(O)': 186.8, 'R(O)_PY': 101, 'TY(O)': 350.8, 'R(O)_TY': 97, 'RY(D)': 198.8, 'R(D)_RY': 111, 'PY(D)': 154.2, 'R(D)_PY': 12, 'TY(D)': 353.0, 'R(D)_TY': 60, 'TO': 0.0, 'PF': 17.3, 'PA': 20.7, 'SU': '2-4', 'ATS': None}, 'league_metrics_away': {'Team': 'New Mexico State', 'RY(O)': 51.0, 'R(O)_RY': 127, 'PY(O)': 260.8, 'R(O)_PY': 78, 'TY(O)': 311.8, 'R(O)_TY': 127, 'RY(D)': 153.0, 'R(D)_RY': 43, 'PY(D)': 246.2, 'R(D)_PY': 51, 'TY(D)': 399.2, 'R(D)_TY': 43, 'TO': 0.4, 'PF': 22.2, 'PA': 22.8, 'SU': '3-2', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Liberty', 'team_norm': 'Liberty', 'team': 'Liberty', 'pr': 59.29, 'pr_rank': 109, 'sos': 59.91, 'sos_rank': 120, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'New Mexico State', 'team_norm': 'New Mexico State', 'team': 'New Mexico State', 'pr': 50.97, 'pr_rank': 128, 'sos': 53.84, 'sos_rank': 152, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-14T23:30:00Z,20251014_2330_arkansas_state_south_alabama,401761628,South Alabama,South Alabama,Arkansas State,Arkansas State,,,,,,,,60.09,102.0,60.75,98.0,63.36,62.49,90.0,98.0,4.31,-0.66,,,,,,25.0,31.7,202.5,178.0,380.5,202.8,169.2,372.0,-0.2,1-5,,27,107,72,113,23,72,23.3,31.7,119.8,243.5,363.3,217.7,260.2,477.8,0.2,2-4,,103,57,86,119,113,125,"{'schedule_row': {'id': 401761628, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-14T23:30:00Z', 'home_team': 'South Alabama', 'away_team': 'Arkansas State', 'venue': 'Hancock Whitney Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'South Alabama', 'RY(O)': 202.5, 'R(O)_RY': 27, 'PY(O)': 178.0, 'R(O)_PY': 107, 'TY(O)': 380.5, 'R(O)_TY': 72, 'RY(D)': 202.8, 'R(D)_RY': 113, 'PY(D)': 169.2, 'R(D)_PY': 23, 'TY(D)': 372.0, 'R(D)_TY': 72, 'TO': -0.2, 'PF': 25.0, 'PA': 31.7, 'SU': '1-5', 'ATS': None}, 'league_metrics_away': {'Team': 'Arkansas State', 'RY(O)': 119.8, 'R(O)_RY': 103, 'PY(O)': 243.5, 'R(O)_PY': 57, 'TY(O)': 363.3, 'R(O)_TY': 86, 'RY(D)': 217.7, 'R(D)_RY': 119, 'PY(D)': 260.2, 'R(D)_PY': 113, 'TY(D)': 477.8, 'R(D)_TY': 125, 'TO': 0.2, 'PF': 23.3, 'PA': 31.7, 'SU': '2-4', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'South Alabama', 'team_norm': 'South Alabama', 'team': 'South Alabama', 'pr': 60.09, 'pr_rank': 102, 'sos': 63.36, 'sos_rank': 90, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'Arkansas State', 'team_norm': 'Arkansas State', 'team': 'Arkansas State', 'pr': 60.75, 'pr_rank': 98, 'sos': 62.49, 'sos_rank': 98, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-15T00:00:00Z,20251015_0000_florida_international_western_kentucky,401757281,Western Kentucky,Western Kentucky,Florida International,Florida International,,,,,,,,60.56,99.0,54.0,119.0,54.79,59.77,146.0,121.0,4.31,6.56,,,,,,33.7,22.8,123.5,306.2,429.7,195.8,199.0,394.8,0.2,5-1,,97,17,43,109,44,94,21.2,32.0,175.6,188.6,364.2,147.8,275.8,423.6,-1.0,2-3,,75,117,120,39,75,60,"{'schedule_row': {'id': 401757281, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-15T00:00:00Z', 'home_team': 'Western Kentucky', 'away_team': 'Florida International', 'venue': 'Houchens Industries-L.T. Smith Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Western Kentucky', 'RY(O)': 123.5, 'R(O)_RY': 97, 'PY(O)': 306.2, 'R(O)_PY': 17, 'TY(O)': 429.7, 'R(O)_TY': 43, 'RY(D)': 195.8, 'R(D)_RY': 109, 'PY(D)': 199.0, 'R(D)_PY': 44, 'TY(D)': 394.8, 'R(D)_TY': 94, 'TO': 0.2, 'PF': 33.7, 'PA': 22.8, 'SU': '5-1', 'ATS': None}, 'league_metrics_away': {'Team': 'Florida International', 'RY(O)': 175.6, 'R(O)_RY': 75, 'PY(O)': 188.6, 'R(O)_PY': 117, 'TY(O)': 364.2, 'R(O)_TY': 120, 'RY(D)': 147.8, 'R(D)_RY': 39, 'PY(D)': 275.8, 'R(D)_PY': 75, 'TY(D)': 423.6, 'R(D)_TY': 60, 'TO': -1.0, 'PF': 21.2, 'PA': 32.0, 'SU': '2-3', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Western Kentucky', 'team_norm': 'Western Kentucky', 'team': 'Western Kentucky', 'pr': 60.56, 'pr_rank': 99, 'sos': 54.79, 'sos_rank': 146, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'Fla. International', 'team_norm': 'Fla. International', 'team': 'Fla. International', 'pr': 54.0, 'pr_rank': 119, 'sos': 59.77, 'sos_rank': 121, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-15T23:00:00Z,20251015_2300_delaware_jacksonville_state,401757283,Jacksonville State,Jacksonville State,Delaware,Delaware,,,,,,,,,,,,,,,,,,,,,,,29.5,26.8,281.3,141.3,422.7,166.5,211.5,378.0,0.2,3-3,,3,123,50,89,54,78,29.6,26.4,146.0,276.2,422.2,155.6,239.0,394.6,-0.2,3-2,,101,66,96,48,45,39,"{'schedule_row': {'id': 401757283, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-15T23:00:00Z', 'home_team': 'Jacksonville State', 'away_team': 'Delaware', 'venue': 'AmFirst Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Jacksonville State', 'RY(O)': 281.3, 'R(O)_RY': 3, 'PY(O)': 141.3, 'R(O)_PY': 123, 'TY(O)': 422.7, 'R(O)_TY': 50, 'RY(D)': 166.5, 'R(D)_RY': 89, 'PY(D)': 211.5, 'R(D)_PY': 54, 'TY(D)': 378.0, 'R(D)_TY': 78, 'TO': 0.2, 'PF': 29.5, 'PA': 26.8, 'SU': '3-3', 'ATS': None}, 'league_metrics_away': {'Team': 'Delaware', 'RY(O)': 146.0, 'R(O)_RY': 101, 'PY(O)': 276.2, 'R(O)_PY': 66, 'TY(O)': 422.2, 'R(O)_TY': 96, 'RY(D)': 155.6, 'R(D)_RY': 48, 'PY(D)': 239.0, 'R(D)_PY': 45, 'TY(D)': 394.6, 'R(D)_TY': 39, 'TO': -0.2, 'PF': 29.6, 'PA': 26.4, 'SU': '3-2', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Jacksonville State', 'team_norm': 'Jacksonville State', 'team': 'Jacksonville State', 'pr': 59.56, 'pr_rank': 107, 'sos': 57.54, 'sos_rank': 134, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-15T23:00:00Z,20251015_2300_utep_sam_houston,401757284,Sam Houston,Sam Houston,UTEP,Utep,,,,,,,,45.16,132.0,54.25,118.0,62.85,56.36,95.0,139.0,4.31,-9.09,,,,,,17.0,39.5,108.8,170.2,279.0,185.3,278.5,463.8,-0.2,0-6,,112,111,124,103,118,120,18.7,25.3,93.7,222.5,316.2,157.3,195.2,352.5,-1.2,1-5,,120,74,113,80,40,59,"{'schedule_row': {'id': 401757284, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-15T23:00:00Z', 'home_team': 'Sam Houston', 'away_team': 'UTEP', 'venue': 'BBVA Compass Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Sam Houston', 'RY(O)': 108.8, 'R(O)_RY': 112, 'PY(O)': 170.2, 'R(O)_PY': 111, 'TY(O)': 279.0, 'R(O)_TY': 124, 'RY(D)': 185.3, 'R(D)_RY': 103, 'PY(D)': 278.5, 'R(D)_PY': 118, 'TY(D)': 463.8, 'R(D)_TY': 120, 'TO': -0.2, 'PF': 17.0, 'PA': 39.5, 'SU': '0-6', 'ATS': None}, 'league_metrics_away': {'Team': 'Utep', 'RY(O)': 93.7, 'R(O)_RY': 120, 'PY(O)': 222.5, 'R(O)_PY': 74, 'TY(O)': 316.2, 'R(O)_TY': 113, 'RY(D)': 157.3, 'R(D)_RY': 80, 'PY(D)': 195.2, 'R(D)_PY': 40, 'TY(D)': 352.5, 'R(D)_TY': 59, 'TO': -1.2, 'PF': 18.7, 'PA': 25.3, 'SU': '1-5', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Sam Houston State', 'team_norm': 'Sam Houston State', 'team': 'Sam Houston State', 'pr': 45.16, 'pr_rank': 132, 'sos': 62.85, 'sos_rank': 95, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'UTEP', 'team_norm': 'Utep', 'team': 'Utep', 'pr': 54.25, 'pr_rank': 118, 'sos': 56.36, 'sos_rank': 139, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-16T23:30:00Z,20251016_2330_tulsa_east_carolina,401762486,East Carolina,East Carolina,Tulsa,Tulsa,,,,,,,,69.38,68.0,53.53,123.0,64.51,62.82,76.0,96.0,4.31,15.85,,,,,,28.5,15.5,144.2,292.5,436.7,114.2,215.7,329.8,0.8,3-3,,79,23,38,32,57,40,18.7,26.3,153.0,216.5,369.5,181.3,203.7,385.0,-0.5,2-4,,70,80,80,101,49,83,"{'schedule_row': {'id': 401762486, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-16T23:30:00Z', 'home_team': 'East Carolina', 'away_team': 'Tulsa', 'venue': 'Dowdy-Ficklen Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'East Carolina', 'RY(O)': 144.2, 'R(O)_RY': 79, 'PY(O)': 292.5, 'R(O)_PY': 23, 'TY(O)': 436.7, 'R(O)_TY': 38, 'RY(D)': 114.2, 'R(D)_RY': 32, 'PY(D)': 215.7, 'R(D)_PY': 57, 'TY(D)': 329.8, 'R(D)_TY': 40, 'TO': 0.8, 'PF': 28.5, 'PA': 15.5, 'SU': '3-3', 'ATS': None}, 'league_metrics_away': {'Team': 'Tulsa', 'RY(O)': 153.0, 'R(O)_RY': 70, 'PY(O)': 216.5, 'R(O)_PY': 80, 'TY(O)': 369.5, 'R(O)_TY': 80, 'RY(D)': 181.3, 'R(D)_RY': 101, 'PY(D)': 203.7, 'R(D)_PY': 49, 'TY(D)': 385.0, 'R(D)_TY': 83, 'TO': -0.5, 'PF': 18.7, 'PA': 26.3, 'SU': '2-4', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'East Carolina', 'team_norm': 'East Carolina', 'team': 'East Carolina', 'pr': 69.38, 'pr_rank': 68, 'sos': 64.51, 'sos_rank': 76, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'Tulsa', 'team_norm': 'Tulsa', 'team': 'Tulsa', 'pr': 53.53, 'pr_rank': 123, 'sos': 62.82, 'sos_rank': 96, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-17T23:00:00Z,20251017_2300_louisville_miami,401754564,Miami,Miami,Louisville,Louisville,,,,,,,,88.85,8.0,81.76,25.0,73.3,67.97,24.0,57.0,4.31,7.09,,,,,,35.0,13.6,163.4,264.2,427.6,87.6,189.0,276.6,1.2,5-0,,86,75,91,3,14,7,36.0,21.0,115.2,289.0,404.2,111.6,150.4,262.0,0.2,4-1,,118,59,105,18,2,2,"{'schedule_row': {'id': 401754564, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-17T23:00:00Z', 'home_team': 'Miami', 'away_team': 'Louisville', 'venue': 'Hard Rock Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Miami', 'RY(O)': 163.4, 'R(O)_RY': 86, 'PY(O)': 264.2, 'R(O)_PY': 75, 'TY(O)': 427.6, 'R(O)_TY': 91, 'RY(D)': 87.6, 'R(D)_RY': 3, 'PY(D)': 189.0, 'R(D)_PY': 14, 'TY(D)': 276.6, 'R(D)_TY': 7, 'TO': 1.2, 'PF': 35.0, 'PA': 13.6, 'SU': '5-0', 'ATS': None}, 'league_metrics_away': {'Team': 'Louisville', 'RY(O)': 115.2, 'R(O)_RY': 118, 'PY(O)': 289.0, 'R(O)_PY': 59, 'TY(O)': 404.2, 'R(O)_TY': 105, 'RY(D)': 111.6, 'R(D)_RY': 18, 'PY(D)': 150.4, 'R(D)_PY': 2, 'TY(D)': 262.0, 'R(D)_TY': 2, 'TO': 0.2, 'PF': 36.0, 'PA': 21.0, 'SU': '4-1', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Miami-Florida', 'team_norm': 'Miami-florida', 'team': 'Miami-florida', 'pr': 88.85, 'pr_rank': 8, 'sos': 73.3, 'sos_rank': 24, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'Louisville', 'team_norm': 'Louisville', 'team': 'Louisville', 'pr': 81.76, 'pr_rank': 25, 'sos': 67.97, 'sos_rank': 57, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-18T00:00:00Z,20251018_0000_nebraska_minnesota,401752872,Minnesota,Minnesota,Nebraska,Nebraska,,,,,,,,72.35,54.0,76.98,38.0,67.53,68.05,62.0,55.0,4.31,-4.63,,,,,,27.3,21.2,112.8,228.5,341.3,109.3,200.3,309.7,0.8,4-2,,110,69,103,29,46,25,41.0,18.7,144.0,310.2,454.2,152.3,118.0,270.3,0.5,5-1,,80,12,30,72,1,14,"{'schedule_row': {'id': 401752872, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-18T00:00:00Z', 'home_team': 'Minnesota', 'away_team': 'Nebraska', 'venue': 'Huntington Bank Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Minnesota', 'RY(O)': 112.8, 'R(O)_RY': 110, 'PY(O)': 228.5, 'R(O)_PY': 69, 'TY(O)': 341.3, 'R(O)_TY': 103, 'RY(D)': 109.3, 'R(D)_RY': 29, 'PY(D)': 200.3, 'R(D)_PY': 46, 'TY(D)': 309.7, 'R(D)_TY': 25, 'TO': 0.8, 'PF': 27.3, 'PA': 21.2, 'SU': '4-2', 'ATS': None}, 'league_metrics_away': {'Team': 'Nebraska', 'RY(O)': 144.0, 'R(O)_RY': 80, 'PY(O)': 310.2, 'R(O)_PY': 12, 'TY(O)': 454.2, 'R(O)_TY': 30, 'RY(D)': 152.3, 'R(D)_RY': 72, 'PY(D)': 118.0, 'R(D)_PY': 1, 'TY(D)': 270.3, 'R(D)_TY': 14, 'TO': 0.5, 'PF': 41.0, 'PA': 18.7, 'SU': '5-1', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Minnesota', 'team_norm': 'Minnesota', 'team': 'Minnesota', 'pr': 72.35, 'pr_rank': 54, 'sos': 67.53, 'sos_rank': 62, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'Nebraska', 'team_norm': 'Nebraska', 'team': 'Nebraska', 'pr': 76.98, 'pr_rank': 38, 'sos': 68.05, 'sos_rank': 55, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-18T01:00:00Z,20251018_0100_san_jos_state_utah_state,401760396,Utah State,Utah State,San José State,San José State,,,,,,,,60.53,100.0,61.48,96.0,63.67,64.23,86.0,79.0,4.31,-0.95,,,,,,34.7,32.7,169.2,254.7,423.8,179.0,257.2,436.2,0.2,3-3,,54,49,46,98,110,109,24.0,29.2,101.7,310.8,412.5,129.3,292.7,422.0,-0.2,2-4,,115,11,55,47,121,105,"{'schedule_row': {'id': 401760396, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-18T01:00:00Z', 'home_team': 'Utah State', 'away_team': 'San José State', 'venue': 'Maverik Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'Utah State', 'RY(O)': 169.2, 'R(O)_RY': 54, 'PY(O)': 254.7, 'R(O)_PY': 49, 'TY(O)': 423.8, 'R(O)_TY': 46, 'RY(D)': 179.0, 'R(D)_RY': 98, 'PY(D)': 257.2, 'R(D)_PY': 110, 'TY(D)': 436.2, 'R(D)_TY': 109, 'TO': 0.2, 'PF': 34.7, 'PA': 32.7, 'SU': '3-3', 'ATS': None}, 'league_metrics_away': {'Team': 'San José State', 'RY(O)': 101.7, 'R(O)_RY': 115, 'PY(O)': 310.8, 'R(O)_PY': 11, 'TY(O)': 412.5, 'R(O)_TY': 55, 'RY(D)': 129.3, 'R(D)_RY': 47, 'PY(D)': 292.7, 'R(D)_PY': 121, 'TY(D)': 422.0, 'R(D)_TY': 105, 'TO': -0.2, 'PF': 24.0, 'PA': 29.2, 'SU': '2-4', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'Utah State', 'team_norm': 'Utah State', 'team': 'Utah State', 'pr': 60.53, 'pr_rank': 100, 'sos': 63.67, 'sos_rank': 86, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'San Jose State', 'team_norm': 'San Jose State', 'team': 'San Jose State', 'pr': 61.48, 'pr_rank': 96, 'sos': 64.23, 'sos_rank': 79, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
2025,8,2025-10-18T02:30:00Z,20251018_0230_north_carolina_california,401754371,California,California,North Carolina,North Carolina,,,,,,,,67.02,74.0,66.31,79.0,66.22,67.71,70.0,60.0,4.31,0.71,,,,,,24.2,22.5,98.5,253.7,352.2,122.8,207.3,330.2,-0.5,4-2,,117,51,95,38,53,41,18.8,25.8,102.2,162.6,264.8,127.2,246.2,373.4,0.2,2-3,,124,125,131,25,51,26,"{'schedule_row': {'id': 401754371, 'season': 2025, 'week': 8, 'kickoff_iso_utc': '2025-10-18T02:30:00Z', 'home_team': 'California', 'away_team': 'North Carolina', 'venue': 'California Memorial Stadium', 'conference_game': True}, 'league_metrics_home': {'Team': 'California', 'RY(O)': 98.5, 'R(O)_RY': 117, 'PY(O)': 253.7, 'R(O)_PY': 51, 'TY(O)': 352.2, 'R(O)_TY': 95, 'RY(D)': 122.8, 'R(D)_RY': 38, 'PY(D)': 207.3, 'R(D)_PY': 53, 'TY(D)': 330.2, 'R(D)_TY': 41, 'TO': -0.5, 'PF': 24.2, 'PA': 22.5, 'SU': '4-2', 'ATS': None}, 'league_metrics_away': {'Team': 'North Carolina', 'RY(O)': 102.2, 'R(O)_RY': 124, 'PY(O)': 162.6, 'R(O)_PY': 125, 'TY(O)': 264.8, 'R(O)_TY': 131, 'RY(D)': 127.2, 'R(D)_RY': 25, 'PY(D)': 246.2, 'R(D)_PY': 51, 'TY(D)': 373.4, 'R(D)_TY': 26, 'TO': 0.2, 'PF': 18.8, 'PA': 25.8, 'SU': '2-3', 'ATS': None}, 'sagarin_home': {'season': 2025, 'week': 8, 'team_raw': 'California', 'team_norm': 'California', 'team': 'California', 'pr': 67.02, 'pr_rank': 74, 'sos': 66.22, 'sos_rank': 70, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}, 'sagarin_away': {'season': 2025, 'week': 8, 'team_raw': 'North Carolina', 'team_norm': 'North Carolina', 'team': 'North Carolina', 'pr': 66.31, 'pr_rank': 79, 'sos': 67.71, 'sos_rank': 60, 'hfa': 4.31, 'source_url': 'http://sagarin.com/sports/cfsend.htm', 'fetched_at': Timestamp('2025-10-27 07:12:04.634674+0000', tz='UTC'), 'page_stamp': 'COLLEGE FOOTBALL 2025 through results of 2025 OCTOBER 25 SATURDAY - WEEK 9'}}"
