Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,224.7,17,89.8,128,314.4,123,153.8,49,188.5,11,342.2,15,-0.2,18.9,23.2,5-7,
Akron,100.5,120,232.5,75,333.0,114,182.0,97,231.7,59,413.7,83,-0.8,20.4,32.0,4-8,
Alabama Crimson Tide,174.0,49,236.4,49,410.4,42,138.5,45,182.2,21,320.8,23,0.5,33.8,17.4,9-4,
App State,157.4,86,272.9,53,430.3,81,198.1,95,214.6,20,412.7,43,-0.8,26.6,32.9,5-6,
Arizona,106.7,118,247.9,54,354.6,103,176.9,90,239.0,71,415.9,86,-0.4,21.8,31.8,4-8,
Arizona State,202.3,13,229.5,36,431.8,15,114.6,28,223.0,103,337.6,63,1.0,32.9,22.6,11-3,
Arkansas,184.7,35,274.6,22,459.3,17,130.9,35,246.9,108,377.8,78,-0.6,30.9,25.0,7-6,
Arkansas State,157.7,69,227.5,55,385.2,61,212.8,127,249.7,110,462.5,121,0.2,25.8,32.2,8-5,
Army,300.7,1,80.6,127,381.3,41,112.1,25,185.9,39,298.1,24,0.8,31.1,15.5,12-2,
Auburn,165.7,74,263.9,40,429.6,53,118.6,10,213.0,33,331.6,7,-0.8,27.8,21.3,5-7,
Ball State,103.4,119,244.7,57,348.1,108,176.3,89,280.2,115,456.6,110,0.1,25.3,40.1,3-9,
Baylor,179.1,43,261.3,30,440.4,28,152.3,75,233.3,93,385.6,89,0.5,34.4,26.7,8-5,
Boise State,241.2,4,225.6,42,466.9,6,123.0,36,241.4,118,364.4,95,0.3,37.3,22.6,12-2,
Boston College,167.8,58,199.3,89,367.1,78,115.1,18,245.8,107,360.8,57,0.7,28.2,23.8,7-6,
Bowling Green,137.1,83,240.6,46,377.7,69,148.5,62,185.4,25,333.8,31,0.2,27.1,21.6,7-6,
Buffalo,170.4,56,186.3,97,356.7,87,147.0,60,244.8,106,391.8,94,0.7,28.8,26.4,9-4,
Byu,161.5,66,227.4,56,388.9,59,127.5,33,182.5,22,310.0,11,0.6,31.2,19.6,11-2,
California,122.2,97,258.6,31,380.8,66,110.0,12,227.6,83,337.6,34,0.8,25.1,22.3,6-7,
Central Michigan,168.9,71,163.4,118,332.3,115,170.7,80,193.8,17,364.5,33,-1.6,22.6,29.7,4-8,
Charlotte,118.7,109,224.1,84,342.8,111,210.7,118,222.8,50,433.5,99,-0.8,23.7,35.1,5-7,
Cincinnati,185.0,54,236.5,71,421.5,57,162.7,69,222.8,49,385.4,49,-0.4,25.2,24.6,5-7,
Clemson Tigers,173.8,32,278.5,13,452.3,9,160.4,103,214.6,87,374.9,101,1.1,34.7,23.4,10-4,
Coastal Carolina,172.8,51,202.0,86,374.8,71,186.3,112,227.8,84,414.1,104,0.4,28.7,31.6,6-7,
Colorado,66.2,130,318.0,8,384.2,62,151.8,72,200.5,40,352.3,48,0.9,32.9,23.1,9-4,
Colorado State,172.6,52,216.5,73,389.1,57,161.2,87,234.3,95,395.5,97,0.1,24.4,25.8,8-5,
Duke,92.6,121,244.2,38,336.8,98,149.5,65,213.6,58,363.1,59,0.6,26.3,24.5,9-4,
East Carolina,172.4,53,264.0,28,436.4,33,170.2,99,235.3,97,405.5,102,-0.6,32.0,27.3,8-5,
Eastern Michigan,142.2,87,235.3,72,377.6,91,166.4,77,221.0,45,387.4,53,-0.2,25.9,27.9,5-7,
Florida,163.7,65,225.7,58,389.4,56,149.9,68,227.5,82,377.4,75,0.5,28.3,23.1,8-5,
Florida Atlantic,189.2,48,208.6,93,397.8,77,184.0,98,233.2,64,417.2,88,0.1,25.9,30.2,3-9,
Florida International,121.7,107,229.4,78,351.1,106,191.8,106,179.6,4,371.3,37,-0.2,26.3,25.8,4-8,
Florida State,90.8,126,180.3,115,271.1,131,186.8,102,201.2,26,388.1,54,-1.3,15.4,28.0,2-10,
Fresno State,99.6,116,242.1,43,341.7,95,142.5,51,215.0,63,357.5,52,0.2,26.1,24.8,6-7,
