season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,10,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,26.59,1,21.01,6,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,26.33,2,20.83,10,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Detroit Lions,Detroit Lions,Detroit Lions,26.01,3,21.2,5,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Buffalo Bills,Buffalo Bills,Buffalo Bills,25.62,4,17.55,31,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Green Bay Packers,Green Bay Packers,Green Bay Packers,24.21,5,19.09,26,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,24.11,6,19.39,23,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Denver Broncos,Denver Broncos,Denver Broncos,23.98,7,18.56,28,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,23.66,8,20.97,9,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,22.95,9,19.86,20,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,22.57,10,20.99,8,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Houston Texans,Houston Texans,Houston Texans,22.36,11,21.4,4,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
2025,10,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,22.12,12,17.77,30,2.7,http://sagarin.com/sports/nflsend.htm,2025-11-05T02:18:18.425705Z,NFL 2025 through games of 2025 November 3 Monday - Week 9
